time,open,high,low,close,volume,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2025-08-04 17:30:00+00:00,1.15691,1.15719,1.15644,1.1565,1329,5.0000000000105516e-05,True,2025-08-04 18:30:00,18.5,2025-08-04,True,False
2025-08-04 17:45:00+00:00,1.1565,1.15742,1.15644,1.15731,2000,4.999999999988347e-05,True,2025-08-04 18:45:00,18.75,2025-08-04,True,False
2025-08-04 18:00:00+00:00,1.1573,1.15757,1.1572,1.1575,2017,5.0000000000105516e-05,True,2025-08-04 19:00:00,19.0,2025-08-04,True,False
2025-08-04 18:15:00+00:00,1.15749,1.15778,1.15716,1.15723,1802,4.999999999988347e-05,True,2025-08-04 19:15:00,19.25,2025-08-04,True,False
2025-08-04 18:30:00+00:00,1.15722,1.15729,1.15661,1.15696,1994,4.999999999988347e-05,True,2025-08-04 19:30:00,19.5,2025-08-04,True,False
2025-08-04 18:45:00+00:00,1.15696,1.15707,1.15641,1.15654,2783,5.0000000000105516e-05,True,2025-08-04 19:45:00,19.75,2025-08-04,True,False
2025-08-04 19:00:00+00:00,1.15654,1.15711,1.15641,1.15682,1744,5.0000000000105516e-05,True,2025-08-04 20:00:00,20.0,2025-08-04,True,False
2025-08-04 19:15:00+00:00,1.15681,1.15724,1.15676,1.15714,1429,5.0000000000105516e-05,True,2025-08-04 20:15:00,20.25,2025-08-04,True,False
2025-08-04 19:30:00+00:00,1.15714,1.15729,1.15659,1.15677,1797,4.999999999988347e-05,True,2025-08-04 20:30:00,20.5,2025-08-04,True,False
2025-08-04 19:45:00+00:00,1.15676,1.15688,1.15631,1.15681,1862,5.0000000000105516e-05,True,2025-08-04 20:45:00,20.75,2025-08-04,True,False
2025-08-04 20:00:00+00:00,1.15682,1.15723,1.15655,1.15722,1423,5.0000000000105516e-05,True,2025-08-04 21:00:00,21.0,2025-08-04,False,False
2025-08-04 20:15:00+00:00,1.15721,1.15762,1.15717,1.15755,1198,4.999999999988347e-05,True,2025-08-04 21:15:00,21.25,2025-08-04,False,False
2025-08-04 20:30:00+00:00,1.15754,1.15757,1.15716,1.15723,1025,4.999999999988347e-05,True,2025-08-04 21:30:00,21.5,2025-08-04,False,False
2025-08-04 20:45:00+00:00,1.15724,1.15755,1.15712,1.15715,1133,5.0000000000105516e-05,True,2025-08-04 21:45:00,21.75,2025-08-04,False,False
2025-08-04 21:00:00+00:00,1.15719,1.15719,1.15706,1.15714,67,0.0004999999999999449,True,2025-08-04 22:00:00,22.0,2025-08-04,False,False
2025-08-04 21:15:00+00:00,1.15715,1.15723,1.15697,1.15703,86,0.000500000000000167,True,2025-08-04 22:15:00,22.25,2025-08-04,False,False
2025-08-04 21:30:00+00:00,1.15704,1.15715,1.15694,1.15697,207,0.0004999999999999449,True,2025-08-04 22:30:00,22.5,2025-08-04,False,False
2025-08-04 21:45:00+00:00,1.15698,1.15702,1.1569,1.15692,101,0.0004999999999999449,True,2025-08-04 22:45:00,22.75,2025-08-04,False,False
2025-08-04 22:00:00+00:00,1.15689,1.15779,1.15685,1.15758,846,5.999999999994898e-05,True,2025-08-04 23:00:00,23.0,2025-08-04,False,False
2025-08-04 22:15:00+00:00,1.15758,1.15796,1.15754,1.15796,666,6.000000000017103e-05,True,2025-08-04 23:15:00,23.25,2025-08-04,False,False
2025-08-04 22:30:00+00:00,1.15796,1.15816,1.15769,1.1579,1054,5.999999999994898e-05,True,2025-08-04 23:30:00,23.5,2025-08-04,False,False
2025-08-04 22:45:00+00:00,1.15791,1.15808,1.15777,1.15793,532,6.000000000017103e-05,True,2025-08-04 23:45:00,23.75,2025-08-04,False,False
2025-08-04 23:00:00+00:00,1.15793,1.15856,1.15778,1.15847,1682,6.000000000017103e-05,True,2025-08-05 00:00:00,0.0,2025-08-05,False,False
2025-08-04 23:15:00+00:00,1.15848,1.15853,1.15819,1.1585,605,5.999999999994898e-05,True,2025-08-05 00:15:00,0.25,2025-08-05,False,False
2025-08-04 23:30:00+00:00,1.15851,1.15855,1.15823,1.15831,504,5.999999999994898e-05,True,2025-08-05 00:30:00,0.5,2025-08-05,False,False
2025-08-04 23:45:00+00:00,1.15831,1.15847,1.15819,1.1584,808,6.000000000017103e-05,True,2025-08-05 00:45:00,0.75,2025-08-05,False,False
2025-08-05 00:00:00+00:00,1.1584,1.15879,1.1584,1.15863,1305,5.999999999994898e-05,True,2025-08-05 01:00:00,1.0,2025-08-05,False,False
2025-08-05 00:15:00+00:00,1.15862,1.15868,1.15788,1.15791,1125,5.999999999994898e-05,True,2025-08-05 01:15:00,1.25,2025-08-05,False,False
2025-08-05 00:30:00+00:00,1.15792,1.15796,1.15746,1.15757,1646,5.999999999994898e-05,True,2025-08-05 01:30:00,1.5,2025-08-05,False,False
2025-08-05 00:45:00+00:00,1.15756,1.15767,1.1571,1.15721,1917,5.999999999994898e-05,True,2025-08-05 01:45:00,1.75,2025-08-05,False,False
2025-08-05 01:00:00+00:00,1.15721,1.15742,1.15596,1.15607,2066,5.999999999994898e-05,True,2025-08-05 02:00:00,2.0,2025-08-05,False,False
2025-08-05 01:15:00+00:00,1.15606,1.15681,1.15597,1.15674,1970,6.000000000017103e-05,True,2025-08-05 02:15:00,2.25,2025-08-05,False,False
2025-08-05 01:30:00+00:00,1.15675,1.15699,1.15647,1.15693,1181,5.999999999994898e-05,True,2025-08-05 02:30:00,2.5,2025-08-05,False,False
2025-08-05 01:45:00+00:00,1.15693,1.15738,1.15633,1.15639,1476,5.999999999994898e-05,True,2025-08-05 02:45:00,2.75,2025-08-05,False,False
2025-08-05 02:00:00+00:00,1.1564,1.15644,1.15571,1.15608,1503,5.999999999994898e-05,True,2025-08-05 03:00:00,3.0,2025-08-05,False,False
2025-08-05 02:15:00+00:00,1.15608,1.15628,1.15581,1.15597,1459,5.999999999994898e-05,True,2025-08-05 03:15:00,3.25,2025-08-05,False,False
2025-08-05 02:30:00+00:00,1.15597,1.156,1.15558,1.15578,1844,5.999999999994898e-05,True,2025-08-05 03:30:00,3.5,2025-08-05,False,False
2025-08-05 02:45:00+00:00,1.15579,1.15615,1.15578,1.15604,1331,5.999999999994898e-05,True,2025-08-05 03:45:00,3.75,2025-08-05,False,False
2025-08-05 03:00:00+00:00,1.15603,1.15615,1.1558,1.15603,925,6.000000000017103e-05,True,2025-08-05 04:00:00,4.0,2025-08-05,False,False
2025-08-05 03:15:00+00:00,1.15603,1.1561,1.15542,1.15578,1063,5.999999999994898e-05,True,2025-08-05 04:15:00,4.25,2025-08-05,False,False
2025-08-05 03:30:00+00:00,1.15578,1.15609,1.15554,1.15608,690,5.999999999994898e-05,True,2025-08-05 04:30:00,4.5,2025-08-05,False,False
2025-08-05 03:45:00+00:00,1.15608,1.15614,1.15548,1.15554,1192,5.999999999994898e-05,True,2025-08-05 04:45:00,4.75,2025-08-05,False,False
2025-08-05 04:00:00+00:00,1.15555,1.15576,1.15543,1.1556,897,5.999999999994898e-05,True,2025-08-05 05:00:00,5.0,2025-08-05,False,False
2025-08-05 04:15:00+00:00,1.15559,1.15576,1.15545,1.15559,772,6.000000000017103e-05,True,2025-08-05 05:15:00,5.25,2025-08-05,False,False
2025-08-05 04:30:00+00:00,1.1556,1.15603,1.15557,1.15588,1043,5.999999999994898e-05,True,2025-08-05 05:30:00,5.5,2025-08-05,False,False
2025-08-05 04:45:00+00:00,1.15588,1.15604,1.1558,1.15584,605,5.999999999994898e-05,True,2025-08-05 05:45:00,5.75,2025-08-05,False,False
2025-08-05 05:00:00+00:00,1.15584,1.15584,1.15545,1.15566,873,6.000000000017103e-05,True,2025-08-05 06:00:00,6.0,2025-08-05,False,False
2025-08-05 05:15:00+00:00,1.15565,1.15568,1.15518,1.15539,738,5.999999999994898e-05,True,2025-08-05 06:15:00,6.25,2025-08-05,False,False
2025-08-05 05:30:00+00:00,1.1554,1.15545,1.15441,1.15486,2337,5.999999999994898e-05,True,2025-08-05 06:30:00,6.5,2025-08-05,False,False
2025-08-05 05:45:00+00:00,1.15485,1.15511,1.15467,1.15482,1313,5.999999999994898e-05,True,2025-08-05 06:45:00,6.75,2025-08-05,False,False
2025-08-05 06:00:00+00:00,1.15482,1.15495,1.15428,1.15494,2624,4.999999999988347e-05,True,2025-08-05 07:00:00,7.0,2025-08-05,False,False
2025-08-05 06:15:00+00:00,1.15493,1.15613,1.15479,1.15558,2154,5.0000000000105516e-05,True,2025-08-05 07:15:00,7.25,2025-08-05,False,False
2025-08-05 06:30:00+00:00,1.15559,1.15559,1.15486,1.15498,1394,5.0000000000105516e-05,True,2025-08-05 07:30:00,7.5,2025-08-05,False,False
2025-08-05 06:45:00+00:00,1.15499,1.15523,1.15457,1.15509,1712,5.0000000000105516e-05,True,2025-08-05 07:45:00,7.75,2025-08-05,False,False
2025-08-05 07:00:00+00:00,1.1551,1.15567,1.15483,1.15554,2751,4.999999999988347e-05,True,2025-08-05 08:00:00,8.0,2025-08-05,True,False
2025-08-05 07:15:00+00:00,1.15555,1.15625,1.15555,1.15597,2264,5.0000000000105516e-05,True,2025-08-05 08:15:00,8.25,2025-08-05,True,False
2025-08-05 07:30:00+00:00,1.15597,1.15608,1.15521,1.15562,2210,5.0000000000105516e-05,True,2025-08-05 08:30:00,8.5,2025-08-05,True,False
2025-08-05 07:45:00+00:00,1.15561,1.15561,1.1533,1.15464,6087,5.0000000000105516e-05,True,2025-08-05 08:45:00,8.75,2025-08-05,True,False
2025-08-05 08:00:00+00:00,1.15463,1.15493,1.15417,1.15428,3895,5.0000000000105516e-05,True,2025-08-05 09:00:00,9.0,2025-08-05,True,False
2025-08-05 08:15:00+00:00,1.15427,1.15459,1.15371,1.15429,3194,4.999999999988347e-05,True,2025-08-05 09:15:00,9.25,2025-08-05,True,False
2025-08-05 08:30:00+00:00,1.15429,1.15444,1.15349,1.15351,2104,4.999999999988347e-05,True,2025-08-05 09:30:00,9.5,2025-08-05,True,False
2025-08-05 08:45:00+00:00,1.1535,1.15373,1.15313,1.15367,3392,4.999999999988347e-05,True,2025-08-05 09:45:00,9.75,2025-08-05,True,False
2025-08-05 09:00:00+00:00,1.15368,1.15387,1.153,1.15383,2935,5.0000000000105516e-05,True,2025-08-05 10:00:00,10.0,2025-08-05,True,False
2025-08-05 09:15:00+00:00,1.15382,1.15449,1.15374,1.15435,2382,4.999999999988347e-05,True,2025-08-05 10:15:00,10.25,2025-08-05,True,False
2025-08-05 09:30:00+00:00,1.15435,1.15436,1.15386,1.1539,1408,5.0000000000105516e-05,True,2025-08-05 10:30:00,10.5,2025-08-05,True,False
2025-08-05 09:45:00+00:00,1.1539,1.15465,1.1539,1.15422,2534,5.0000000000105516e-05,True,2025-08-05 10:45:00,10.75,2025-08-05,True,False
2025-08-05 10:00:00+00:00,1.15422,1.15448,1.15368,1.1542,2261,5.0000000000105516e-05,True,2025-08-05 11:00:00,11.0,2025-08-05,True,False
2025-08-05 10:15:00+00:00,1.1542,1.15421,1.15344,1.15355,2693,4.999999999988347e-05,True,2025-08-05 11:15:00,11.25,2025-08-05,True,False
2025-08-05 10:30:00+00:00,1.15355,1.15452,1.15342,1.15444,1691,5.0000000000105516e-05,True,2025-08-05 11:30:00,11.5,2025-08-05,True,False
2025-08-05 10:45:00+00:00,1.15445,1.15458,1.1542,1.15444,1705,5.0000000000105516e-05,True,2025-08-05 11:45:00,11.75,2025-08-05,True,False
2025-08-05 11:00:00+00:00,1.15443,1.15445,1.15375,1.15393,1730,5.0000000000105516e-05,True,2025-08-05 12:00:00,12.0,2025-08-05,True,False
2025-08-05 11:15:00+00:00,1.15393,1.15482,1.15374,1.1544,1671,5.0000000000105516e-05,True,2025-08-05 12:15:00,12.25,2025-08-05,True,False
2025-08-05 11:30:00+00:00,1.15439,1.1544,1.15277,1.15327,3202,4.999999999988347e-05,True,2025-08-05 12:30:00,12.5,2025-08-05,True,False
2025-08-05 11:45:00+00:00,1.15327,1.15398,1.15324,1.15396,2188,5.0000000000105516e-05,True,2025-08-05 12:45:00,12.75,2025-08-05,True,False
2025-08-05 12:00:00+00:00,1.15396,1.15484,1.15366,1.15403,3429,5.0000000000105516e-05,True,2025-08-05 13:00:00,13.0,2025-08-05,True,False
2025-08-05 12:15:00+00:00,1.15404,1.15438,1.15304,1.15367,6068,4.999999999988347e-05,True,2025-08-05 13:15:00,13.25,2025-08-05,True,False
2025-08-05 12:30:00+00:00,1.15368,1.15409,1.15303,1.15397,3779,5.0000000000105516e-05,True,2025-08-05 13:30:00,13.5,2025-08-05,True,False
2025-08-05 12:45:00+00:00,1.15396,1.1542,1.15327,1.15373,2936,5.0000000000105516e-05,True,2025-08-05 13:45:00,13.75,2025-08-05,True,False
2025-08-05 13:00:00+00:00,1.15373,1.15433,1.15365,1.15433,3033,4.999999999988347e-05,True,2025-08-05 14:00:00,14.0,2025-08-05,True,False
2025-08-05 13:15:00+00:00,1.15433,1.15522,1.15411,1.15509,2179,5.0000000000105516e-05,True,2025-08-05 14:15:00,14.25,2025-08-05,True,False
