time,open,high,low,close,volume,n_bars,cash_frac,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2024-08-04 22:00:00+00:00,17545.0,17621.7,17538.3,17591.8,3940,1,0.0,6.0,True,2024-08-04 23:00:00,23.0,2024-08-04,False,False
2024-08-04 23:00:00+00:00,17592.2,17652.8,17494.3,17596.8,12738,4,0.0,6.0,True,2024-08-05 00:00:00,0.0,2024-08-05,False,False
2024-08-05 03:00:00+00:00,17598.8,17609.8,17202.3,17209.8,13057,4,0.0,5.0,True,2024-08-05 04:00:00,4.0,2024-08-05,False,False
2024-08-05 07:00:00+00:00,17208.3,17321.6,17089.3,17200.6,40933,4,1.0,0.8999999999978172,True,2024-08-05 08:00:00,8.0,2024-08-05,True,False
2024-08-05 11:00:00+00:00,17202.6,17336.3,17020.6,17247.8,46991,4,1.0,0.8999999999978172,True,2024-08-05 12:00:00,12.0,2024-08-05,True,False
2024-08-05 15:00:00+00:00,17251.3,17423.3,17218.3,17321.8,33738,4,0.25,2.0,True,2024-08-05 16:00:00,16.0,2024-08-05,True,False
2024-08-05 19:00:00+00:00,17322.3,17481.2,17311.6,17448.6,14173,3,0.0,4.666666666666667,True,2024-08-05 20:00:00,20.0,2024-08-05,False,False
2024-08-05 23:00:00+00:00,17448.2,17565.6,17416.6,17446.6,8936,4,0.0,6.0,True,2024-08-06 00:00:00,0.0,2024-08-06,False,False
2024-08-06 03:00:00+00:00,17447.1,17570.1,17413.1,17450.1,8584,4,0.0,5.0,True,2024-08-06 04:00:00,4.0,2024-08-06,False,False
2024-08-06 07:00:00+00:00,17444.6,17507.1,17260.8,17345.8,32826,4,1.0,0.8999999999978172,True,2024-08-06 08:00:00,8.0,2024-08-06,True,False
2024-08-06 11:00:00+00:00,17347.3,17433.8,17229.8,17398.8,36833,4,1.0,0.8999999999978172,True,2024-08-06 12:00:00,12.0,2024-08-06,True,False
2024-08-06 15:00:00+00:00,17398.3,17462.3,17310.3,17418.3,24751,4,0.25,2.0,True,2024-08-06 16:00:00,16.0,2024-08-06,True,False
2024-08-06 19:00:00+00:00,17417.8,17429.8,17270.9,17305.0,15040,3,0.0,4.666666666666667,True,2024-08-06 20:00:00,20.0,2024-08-06,False,False
2024-08-06 23:00:00+00:00,17305.4,17534.6,17278.6,17495.1,8459,4,0.0,6.0,True,2024-08-07 00:00:00,0.0,2024-08-07,False,False
2024-08-07 03:00:00+00:00,17495.6,17560.1,17381.1,17437.1,7387,4,0.0,5.0,True,2024-08-07 04:00:00,4.0,2024-08-07,False,False
2024-08-07 07:00:00+00:00,17437.1,17604.5,17385.1,17591.5,22882,4,1.0,0.9000000000014552,True,2024-08-07 08:00:00,8.0,2024-08-07,True,False
2024-08-07 11:00:00+00:00,17590.5,17671.2,17511.0,17649.2,24317,4,1.0,0.9000000000014552,True,2024-08-07 12:00:00,12.0,2024-08-07,True,False
2024-08-07 15:00:00+00:00,17649.7,17651.7,17409.7,17424.7,33977,4,0.25,2.0,True,2024-08-07 16:00:00,16.0,2024-08-07,True,False
2024-08-07 19:00:00+00:00,17424.2,17473.7,17328.9,17392.3,14725,3,0.0,4.666666666666667,True,2024-08-07 20:00:00,20.0,2024-08-07,False,False
2024-08-07 23:00:00+00:00,17391.9,17493.0,17264.4,17492.0,8183,4,0.0,6.0,True,2024-08-08 00:00:00,0.0,2024-08-08,False,False
2024-08-08 03:00:00+00:00,17493.0,17587.0,17423.5,17542.0,7863,4,0.0,5.0,True,2024-08-08 04:00:00,4.0,2024-08-08,False,False
2024-08-08 07:00:00+00:00,17542.5,17555.4,17436.5,17491.4,22993,4,1.0,0.9000000000014552,True,2024-08-08 08:00:00,8.0,2024-08-08,True,False
2024-08-08 11:00:00+00:00,17491.9,17689.4,17467.4,17687.9,30404,4,1.0,0.8999999999987267,True,2024-08-08 12:00:00,12.0,2024-08-08,True,False
2024-08-08 15:00:00+00:00,17688.4,17730.4,17641.9,17711.9,22640,4,0.25,2.0,True,2024-08-08 16:00:00,16.0,2024-08-08,True,False
2024-08-08 19:00:00+00:00,17711.4,17747.4,17680.4,17728.6,10109,3,0.0,4.666666666666667,True,2024-08-08 20:00:00,20.0,2024-08-08,False,False
2024-08-08 23:00:00+00:00,17728.9,17757.4,17664.7,17756.7,6723,4,0.0,6.0,True,2024-08-09 00:00:00,0.0,2024-08-09,False,False
2024-08-09 03:00:00+00:00,17755.7,17755.7,17654.2,17691.7,4765,4,0.0,5.0,True,2024-08-09 04:00:00,4.0,2024-08-09,False,False
2024-08-09 07:00:00+00:00,17691.7,17790.9,17650.7,17733.4,17002,4,1.0,0.9000000000014552,True,2024-08-09 08:00:00,8.0,2024-08-09,True,False
2024-08-09 11:00:00+00:00,17733.9,17751.9,17616.7,17701.2,26062,4,1.0,0.9000000000014552,True,2024-08-09 12:00:00,12.0,2024-08-09,True,False
2024-08-09 15:00:00+00:00,17701.7,17777.7,17677.7,17746.2,21660,4,0.25,2.0,True,2024-08-09 16:00:00,16.0,2024-08-09,True,False
2024-08-09 19:00:00+00:00,17746.7,17784.7,17740.2,17777.7,5509,1,0.0,2.0,True,2024-08-09 20:00:00,20.0,2024-08-09,False,False
2024-08-11 22:00:00+00:00,17766.5,17776.8,17709.2,17747.8,3169,1,0.0,6.0,True,2024-08-11 23:00:00,23.0,2024-08-11,False,False
2024-08-11 23:00:00+00:00,17748.2,17823.0,17741.6,17819.0,4956,4,0.0,6.0,True,2024-08-12 00:00:00,0.0,2024-08-12,False,False
2024-08-12 03:00:00+00:00,17820.0,17824.0,17766.0,17794.5,3786,4,0.0,5.0,True,2024-08-12 04:00:00,4.0,2024-08-12,False,False
2024-08-12 07:00:00+00:00,17794.5,17831.1,17712.1,17752.6,12914,4,1.0,0.8999999999978172,True,2024-08-12 08:00:00,8.0,2024-08-12,True,False
2024-08-12 11:00:00+00:00,17751.1,17777.6,17675.1,17760.5,16942,4,1.0,0.8999999999987267,True,2024-08-12 12:00:00,12.0,2024-08-12,True,False
2024-08-12 15:00:00+00:00,17760.0,17765.5,17696.5,17723.0,22227,4,0.25,2.0,True,2024-08-12 16:00:00,16.0,2024-08-12,True,False
2024-08-12 19:00:00+00:00,17722.5,17725.5,17696.5,17712.6,6222,3,0.0,4.666666666666667,True,2024-08-12 20:00:00,20.0,2024-08-12,False,False
2024-08-12 23:00:00+00:00,17712.9,17751.4,17700.9,17735.9,3477,4,0.0,6.0,True,2024-08-13 00:00:00,0.0,2024-08-13,False,False
2024-08-13 03:00:00+00:00,17735.4,17803.9,17725.9,17799.9,2564,4,0.0,5.0,True,2024-08-13 04:00:00,4.0,2024-08-13,False,False
2024-08-13 07:00:00+00:00,17799.9,17816.9,17668.3,17695.8,14959,4,1.0,0.8999999999978172,True,2024-08-13 08:00:00,8.0,2024-08-13,True,False
2024-08-13 11:00:00+00:00,17695.3,17802.5,17690.8,17796.0,21129,4,1.0,0.9000000000005457,True,2024-08-13 12:00:00,12.0,2024-08-13,True,False
2024-08-13 15:00:00+00:00,17797.0,17852.5,17793.5,17848.5,13687,4,0.25,2.0,True,2024-08-13 16:00:00,16.0,2024-08-13,True,False
2024-08-13 19:00:00+00:00,17849.0,17866.5,17839.0,17854.6,5753,3,0.0,4.666666666666667,True,2024-08-13 20:00:00,20.0,2024-08-13,False,False
2024-08-13 23:00:00+00:00,17854.3,17881.2,17831.7,17839.2,3255,4,0.0,6.0,True,2024-08-14 00:00:00,0.0,2024-08-14,False,False
2024-08-14 03:00:00+00:00,17838.7,17894.7,17834.2,17873.7,3843,4,0.0,5.0,True,2024-08-14 04:00:00,4.0,2024-08-14,False,False
