time,open,high,low,close,volume,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2015-11-21 00:00:00+00:00,11100.5,11100.5,11100.5,11100.5,0,0.0,False,2015-11-21 00:00:00,0.0,2015-11-21,True,False
2015-11-22 00:00:00+00:00,11100.5,11100.5,11100.5,11100.5,0,0.0,False,2015-11-22 00:00:00,0.0,2015-11-22,True,False
2015-11-23 00:00:00+00:00,11100.5,11133.8,11026.5,11064.3,0,0.0,False,2015-11-23 00:00:00,0.0,2015-11-23,True,False
2015-11-24 00:00:00+00:00,11064.3,11082.0,10869.8,10969.0,0,0.0,False,2015-11-24 00:00:00,0.0,2015-11-24,True,False
2015-11-25 00:00:00+00:00,10969.0,11188.3,10920.8,11152.5,0,0.0,False,2015-11-25 00:00:00,0.0,2015-11-25,True,False
2015-11-26 00:00:00+00:00,11152.5,11368.8,11152.5,11307.0,0,0.0,False,2015-11-26 00:00:00,0.0,2015-11-26,True,False
2015-11-27 00:00:00+00:00,11307.0,11355.3,11243.5,11298.8,0,0.0,False,2015-11-27 00:00:00,0.0,2015-11-27,True,False
2015-11-28 00:00:00+00:00,11298.8,11298.8,11298.8,11298.8,0,0.0,False,2015-11-28 00:00:00,0.0,2015-11-28,True,False
2015-11-29 00:00:00+00:00,11298.8,11298.8,11298.8,11298.8,0,0.0,False,2015-11-29 00:00:00,0.0,2015-11-29,True,False
2015-11-30 00:00:00+00:00,11298.8,11433.0,11253.3,11350.8,0,0.0,False,2015-11-30 00:00:00,0.0,2015-11-30,True,False
2015-12-01 00:00:00+00:00,11350.8,11418.3,11238.3,11294.8,0,0.0,False,2015-12-01 00:00:00,0.0,2015-12-01,True,False
2015-12-02 00:00:00+00:00,11294.8,11333.5,11079.0,11112.8,0,0.0,False,2015-12-02 00:00:00,0.0,2015-12-02,True,False
2015-12-03 00:00:00+00:00,11112.8,11322.0,10641.0,10679.0,0,0.0,False,2015-12-03 00:00:00,0.0,2015-12-03,True,False
2015-12-04 00:00:00+00:00,10679.0,10879.3,10630.5,10867.5,0,0.0,False,2015-12-04 00:00:00,0.0,2015-12-04,True,False
2015-12-05 00:00:00+00:00,10867.5,10867.5,10867.5,10867.5,0,0.0,False,2015-12-05 00:00:00,0.0,2015-12-05,True,False
2015-12-06 00:00:00+00:00,10867.5,10867.5,10867.5,10867.5,0,0.0,False,2015-12-06 00:00:00,0.0,2015-12-06,True,False
2015-12-07 00:00:00+00:00,10867.5,10992.3,10853.5,10923.8,0,0.0,False,2015-12-07 00:00:00,0.0,2015-12-07,True,False
2015-12-08 00:00:00+00:00,10923.8,10923.8,10613.0,10679.0,0,0.0,False,2015-12-08 00:00:00,0.0,2015-12-08,True,False
2015-12-09 00:00:00+00:00,10679.0,10719.0,10449.0,10515.3,0,0.0,False,2015-12-09 00:00:00,0.0,2015-12-09,True,False
2015-12-10 00:00:00+00:00,10515.3,10663.8,10498.8,10579.5,0,0.0,False,2015-12-10 00:00:00,0.0,2015-12-10,True,False
2015-12-11 00:00:00+00:00,10579.5,10605.5,10268.8,10284.8,0,0.0,False,2015-12-11 00:00:00,0.0,2015-12-11,True,False
2015-12-12 00:00:00+00:00,10284.8,10284.8,10284.8,10284.8,0,0.0,False,2015-12-12 00:00:00,0.0,2015-12-12,True,False
2015-12-13 00:00:00+00:00,10284.8,10284.8,10284.8,10284.8,0,0.0,False,2015-12-13 00:00:00,0.0,2015-12-13,True,False
2015-12-14 00:00:00+00:00,10284.8,10445.5,10120.3,10286.0,0,0.0,False,2015-12-14 00:00:00,0.0,2015-12-14,True,False
2015-12-15 00:00:00+00:00,10286.0,10487.0,10224.0,10449.3,0,0.0,False,2015-12-15 00:00:00,0.0,2015-12-15,True,False
2015-12-16 00:00:00+00:00,10449.3,10649.8,10421.8,10626.0,0,0.0,False,2015-12-16 00:00:00,0.0,2015-12-16,True,False
2015-12-17 00:00:00+00:00,10626.0,10832.0,10526.8,10707.0,0,0.0,False,2015-12-17 00:00:00,0.0,2015-12-17,True,False
2015-12-18 00:00:00+00:00,10707.0,10734.0,10620.0,10661.8,0,0.0,False,2015-12-18 00:00:00,0.0,2015-12-18,True,False
2015-12-19 00:00:00+00:00,10661.8,10661.8,10661.8,10661.8,0,0.0,False,2015-12-19 00:00:00,0.0,2015-12-19,True,False
2015-12-20 00:00:00+00:00,10661.8,10661.8,10661.8,10661.8,0,0.0,False,2015-12-20 00:00:00,0.0,2015-12-20,True,False
2015-12-21 00:00:00+00:00,10661.8,10803.3,10477.3,10554.0,0,0.0,False,2015-12-21 00:00:00,0.0,2015-12-21,True,False
2015-12-22 00:00:00+00:00,10554.0,10639.0,10402.0,10567.8,0,0.0,False,2015-12-22 00:00:00,0.0,2015-12-22,True,False
2015-12-23 00:00:00+00:00,10567.8,10767.5,10565.0,10765.8,0,0.0,False,2015-12-23 00:00:00,0.0,2015-12-23,True,False
2015-12-24 00:00:00+00:00,10765.8,10765.8,10765.8,10765.8,0,0.0,False,2015-12-24 00:00:00,0.0,2015-12-24,True,False
2015-12-25 00:00:00+00:00,10765.8,10765.8,10765.8,10765.8,0,0.0,False,2015-12-25 00:00:00,0.0,2015-12-25,True,False
2015-12-26 00:00:00+00:00,10765.8,10765.8,10765.8,10765.8,0,0.0,False,2015-12-26 00:00:00,0.0,2015-12-26,True,False
2015-12-27 00:00:00+00:00,10765.8,10765.8,10765.8,10765.8,0,0.0,False,2015-12-27 00:00:00,0.0,2015-12-27,True,False
2015-12-28 00:00:00+00:00,10765.8,10773.8,10629.3,10700.5,0,0.0,False,2015-12-28 00:00:00,0.0,2015-12-28,True,False
2015-12-29 00:00:00+00:00,10700.5,10882.5,10700.5,10864.5,0,0.0,False,2015-12-29 00:00:00,0.0,2015-12-29,True,False
