time,open,high,low,close,volume,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2025-08-04 17:30:00+00:00,3372.35,3374.51,3371.8,3373.04,916,0.3000000000001819,True,2025-08-04 18:30:00,18.5,2025-08-04,True,False
2025-08-04 17:45:00+00:00,3373.05,3374.44,3371.91,3374.06,975,0.3000000000001819,True,2025-08-04 18:45:00,18.75,2025-08-04,True,False
2025-08-04 18:00:00+00:00,3374.08,3375.23,3373.25,3374.36,511,0.5,True,2025-08-04 19:00:00,19.0,2025-08-04,True,False
2025-08-04 18:15:00+00:00,3374.37,3377.01,3374.03,3376.04,1147,0.5,True,2025-08-04 19:15:00,19.25,2025-08-04,True,False
2025-08-04 18:30:00+00:00,3376.14,3376.7,3375.14,3375.73,933,0.5,True,2025-08-04 19:30:00,19.5,2025-08-04,True,False
2025-08-04 18:45:00+00:00,3375.72,3376.87,3375.45,3375.79,1137,0.5,True,2025-08-04 19:45:00,19.75,2025-08-04,True,False
2025-08-04 19:00:00+00:00,3375.69,3377.35,3375.69,3376.17,1151,0.5,True,2025-08-04 20:00:00,20.0,2025-08-04,True,False
2025-08-04 19:15:00+00:00,3376.31,3376.88,3375.53,3376.62,1144,0.5,True,2025-08-04 20:15:00,20.25,2025-08-04,True,False
2025-08-04 19:30:00+00:00,3376.6,3377.24,3375.86,3376.15,1223,0.5,True,2025-08-04 20:30:00,20.5,2025-08-04,True,False
2025-08-04 19:45:00+00:00,3376.17,3376.5,3374.69,3376.05,1880,0.5,True,2025-08-04 20:45:00,20.75,2025-08-04,True,False
2025-08-04 20:00:00+00:00,3376.11,3376.42,3374.67,3376.18,529,0.5,True,2025-08-04 21:00:00,21.0,2025-08-04,False,False
2025-08-04 20:15:00+00:00,3376.19,3377.01,3375.71,3376.14,424,0.5,True,2025-08-04 21:15:00,21.25,2025-08-04,False,False
2025-08-04 20:30:00+00:00,3376.12,3376.2,3373.48,3373.77,414,0.5,True,2025-08-04 21:30:00,21.5,2025-08-04,False,False
2025-08-04 20:45:00+00:00,3373.85,3374.48,3373.37,3374.03,450,0.5,True,2025-08-04 21:45:00,21.75,2025-08-04,False,False
2025-08-04 22:00:00+00:00,3374.93,3376.41,3374.63,3374.79,327,0.5,True,2025-08-04 23:00:00,23.0,2025-08-04,False,False
2025-08-04 22:15:00+00:00,3374.77,3375.58,3374.52,3374.83,195,0.5,True,2025-08-04 23:15:00,23.25,2025-08-04,False,False
2025-08-04 22:30:00+00:00,3374.68,3375.46,3373.84,3374.35,199,0.5,True,2025-08-04 23:30:00,23.5,2025-08-04,False,False
2025-08-04 22:45:00+00:00,3374.45,3375.04,3374.01,3374.64,199,0.5,True,2025-08-04 23:45:00,23.75,2025-08-04,False,False
2025-08-04 23:00:00+00:00,3374.73,3379.14,3374.71,3378.87,576,0.5,True,2025-08-05 00:00:00,0.0,2025-08-05,False,False
2025-08-04 23:15:00+00:00,3378.97,3379.45,3377.7,3379.34,409,0.5,True,2025-08-05 00:15:00,0.25,2025-08-05,False,False
2025-08-04 23:30:00+00:00,3379.39,3379.71,3376.99,3377.62,398,0.5,True,2025-08-05 00:30:00,0.5,2025-08-05,False,False
2025-08-04 23:45:00+00:00,3377.36,3378.74,3376.56,3377.38,389,0.5,True,2025-08-05 00:45:00,0.75,2025-08-05,False,False
2025-08-05 00:00:00+00:00,3377.43,3379.1,3375.96,3377.04,634,0.5,True,2025-08-05 01:00:00,1.0,2025-08-05,False,False
