time,open,high,low,close,volume,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2025-08-10 22:00:00+00:00,9102.9,9103.1,9098.1,9101.4,204,6.0,True,2025-08-10 23:00:00,23.0,2025-08-10,False,False
2025-08-10 22:15:00+00:00,9101.6,9105.1,9100.1,9102.1,304,6.0,True,2025-08-10 23:15:00,23.25,2025-08-10,False,False
2025-08-10 22:30:00+00:00,9101.9,9102.4,9100.4,9100.6,126,6.0,True,2025-08-10 23:30:00,23.5,2025-08-10,False,False
2025-08-10 22:45:00+00:00,9100.9,9101.4,9100.4,9100.8,79,6.0,True,2025-08-10 23:45:00,23.75,2025-08-10,False,False
2025-08-10 23:00:00+00:00,9100.6,9102.9,9098.4,9098.4,184,6.0,True,2025-08-11 00:00:00,0.0,2025-08-11,False,False
2025-08-10 23:15:00+00:00,9098.1,9098.4,9094.4,9094.4,110,6.0,True,2025-08-11 00:15:00,0.25,2025-08-11,False,False
2025-08-10 23:30:00+00:00,9094.5,9096.2,9092.9,9093.7,127,6.0,True,2025-08-11 00:30:00,0.5,2025-08-11,False,False
2025-08-10 23:45:00+00:00,9093.4,9095.2,9093.4,9094.2,113,6.0,True,2025-08-11 00:45:00,0.75,2025-08-11,False,False
2025-08-11 00:00:00+00:00,9092.2,9102.1,9091.5,9101.8,340,6.0,True,2025-08-11 01:00:00,1.0,2025-08-11,False,False
2025-08-11 00:15:00+00:00,9102.0,9103.3,9100.6,9102.5,280,6.0,True,2025-08-11 01:15:00,1.25,2025-08-11,False,False
2025-08-11 00:30:00+00:00,9102.6,9103.7,9101.2,9102.5,239,6.0,True,2025-08-11 01:30:00,1.5,2025-08-11,False,False
2025-08-11 00:45:00+00:00,9102.7,9104.1,9100.1,9102.5,232,6.0,True,2025-08-11 01:45:00,1.75,2025-08-11,False,False
2025-08-11 01:00:00+00:00,9102.4,9104.4,9099.4,9103.8,248,6.0,True,2025-08-11 02:00:00,2.0,2025-08-11,False,False
2025-08-11 01:15:00+00:00,9104.2,9104.8,9101.8,9104.3,272,6.0,True,2025-08-11 02:15:00,2.25,2025-08-11,False,False
2025-08-11 01:30:00+00:00,9104.1,9105.6,9103.2,9105.0,368,6.0,True,2025-08-11 02:30:00,2.5,2025-08-11,False,False
2025-08-11 01:45:00+00:00,9104.8,9105.5,9102.8,9105.3,264,6.0,True,2025-08-11 02:45:00,2.75,2025-08-11,False,False
2025-08-11 02:00:00+00:00,9105.1,9107.0,9105.0,9105.5,230,6.0,True,2025-08-11 03:00:00,3.0,2025-08-11,False,False
2025-08-11 02:15:00+00:00,9105.7,9106.0,9103.5,9104.0,295,6.0,True,2025-08-11 03:15:00,3.25,2025-08-11,False,False
2025-08-11 02:30:00+00:00,9103.8,9105.4,9102.6,9103.8,310,6.0,True,2025-08-11 03:30:00,3.5,2025-08-11,False,False
2025-08-11 02:45:00+00:00,9103.7,9105.0,9103.1,9105.0,305,6.0,True,2025-08-11 03:45:00,3.75,2025-08-11,False,False
2025-08-11 03:00:00+00:00,9105.1,9107.2,9104.4,9106.3,307,6.0,True,2025-08-11 04:00:00,4.0,2025-08-11,False,False
2025-08-11 03:15:00+00:00,9106.5,9106.8,9103.8,9104.7,233,6.0,True,2025-08-11 04:15:00,4.25,2025-08-11,False,False
2025-08-11 03:30:00+00:00,9104.3,9105.0,9102.5,9102.8,189,6.0,True,2025-08-11 04:30:00,4.5,2025-08-11,False,False
2025-08-11 03:45:00+00:00,9102.6,9104.1,9101.5,9102.8,194,6.0,True,2025-08-11 04:45:00,4.75,2025-08-11,False,False
2025-08-11 04:00:00+00:00,9102.4,9103.2,9100.5,9103.2,147,6.0,True,2025-08-11 05:00:00,5.0,2025-08-11,False,False
2025-08-11 04:15:00+00:00,9103.3,9103.3,9100.0,9100.5,218,6.0,True,2025-08-11 05:15:00,5.25,2025-08-11,False,False
2025-08-11 04:30:00+00:00,9100.3,9101.0,9099.3,9100.0,134,6.0,True,2025-08-11 05:30:00,5.5,2025-08-11,False,False
2025-08-11 04:45:00+00:00,9099.8,9101.8,9099.8,9101.5,152,6.0,True,2025-08-11 05:45:00,5.75,2025-08-11,False,False
2025-08-11 05:00:00+00:00,9101.6,9101.6,9098.3,9099.1,160,6.0,True,2025-08-11 06:00:00,6.0,2025-08-11,False,False
2025-08-11 05:15:00+00:00,9098.8,9099.8,9098.1,9099.1,120,6.0,True,2025-08-11 06:15:00,6.25,2025-08-11,False,False
2025-08-11 05:30:00+00:00,9098.3,9100.3,9097.8,9098.8,213,6.0,True,2025-08-11 06:30:00,6.5,2025-08-11,False,False
2025-08-11 05:45:00+00:00,9098.6,9100.6,9097.8,9100.3,150,6.0,True,2025-08-11 06:45:00,6.75,2025-08-11,False,False
2025-08-11 06:00:00+00:00,9100.6,9103.6,9097.3,9097.3,285,1.6000000000003638,True,2025-08-11 07:00:00,7.0,2025-08-11,False,False
2025-08-11 06:15:00+00:00,9097.1,9102.8,9094.8,9100.6,198,1.6000000000003638,True,2025-08-11 07:15:00,7.25,2025-08-11,False,False
2025-08-11 06:30:00+00:00,9100.3,9105.8,9099.1,9105.8,151,1.6000000000003638,True,2025-08-11 07:30:00,7.5,2025-08-11,False,False
2025-08-11 06:45:00+00:00,9105.6,9114.1,9105.6,9113.1,232,1.6000000000003638,True,2025-08-11 07:45:00,7.75,2025-08-11,False,False
2025-08-11 07:00:00+00:00,9112.1,9125.1,9109.3,9122.1,1169,1.3000000000010914,True,2025-08-11 08:00:00,8.0,2025-08-11,True,False
2025-08-11 07:15:00+00:00,9121.8,9128.3,9119.6,9124.8,662,1.2999999999992724,True,2025-08-11 08:15:00,8.25,2025-08-11,True,False
2025-08-11 07:30:00+00:00,9125.1,9134.3,9122.6,9134.3,636,1.2999999999992724,True,2025-08-11 08:30:00,8.5,2025-08-11,True,False
2025-08-11 07:45:00+00:00,9133.8,9135.3,9122.3,9123.3,542,1.2999999999992724,True,2025-08-11 08:45:00,8.75,2025-08-11,True,False
2025-08-11 08:00:00+00:00,9122.8,9123.8,9108.6,9113.3,642,1.2999999999992724,True,2025-08-11 09:00:00,9.0,2025-08-11,True,False
2025-08-11 08:15:00+00:00,9112.8,9118.3,9111.8,9113.8,430,1.2999999999992724,True,2025-08-11 09:15:00,9.25,2025-08-11,True,False
2025-08-11 08:30:00+00:00,9114.1,9119.8,9113.6,9119.6,343,1.3000000000010914,True,2025-08-11 09:30:00,9.5,2025-08-11,True,False
2025-08-11 08:45:00+00:00,9119.8,9120.3,9115.3,9115.6,366,1.3000000000010914,True,2025-08-11 09:45:00,9.75,2025-08-11,True,False
2025-08-11 09:00:00+00:00,9115.8,9117.8,9110.3,9110.3,372,1.2999999999992724,True,2025-08-11 10:00:00,10.0,2025-08-11,True,False
2025-08-11 09:15:00+00:00,9110.6,9113.8,9107.1,9109.1,310,1.3000000000010914,True,2025-08-11 10:15:00,10.25,2025-08-11,True,False
2025-08-11 09:30:00+00:00,9109.3,9115.8,9107.8,9114.8,251,1.2999999999992724,True,2025-08-11 10:30:00,10.5,2025-08-11,True,False
2025-08-11 09:45:00+00:00,9115.1,9119.6,9114.1,9117.6,239,1.3000000000010914,True,2025-08-11 10:45:00,10.75,2025-08-11,True,False
2025-08-11 10:00:00+00:00,9117.8,9122.1,9117.6,9119.8,260,1.2999999999992724,True,2025-08-11 11:00:00,11.0,2025-08-11,True,False
2025-08-11 10:15:00+00:00,9119.6,9124.6,9117.8,9123.6,206,1.3000000000010914,True,2025-08-11 11:15:00,11.25,2025-08-11,True,False
2025-08-11 10:30:00+00:00,9123.8,9123.8,9112.3,9114.1,224,1.3000000000010914,True,2025-08-11 11:30:00,11.5,2025-08-11,True,False
2025-08-11 10:45:00+00:00,9114.3,9119.8,9112.8,9118.6,251,1.3000000000010914,True,2025-08-11 11:45:00,11.75,2025-08-11,True,False
