time,open,high,low,close,volume,n_bars,cash_frac,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2026-06-11 17:00:00+00:00,10400.0,10433.0,10397.0,10417.3,9369,2,0.0,4.0,True,2026-06-11 18:00:00,18.0,2026-06-11,False,False
2026-06-11 19:00:00+00:00,10418.0,10460.7,10417.0,10453.5,9877,3,0.0,5.333333333333333,True,2026-06-11 20:00:00,20.0,2026-06-11,False,False
2026-06-11 23:00:00+00:00,10453.7,10458.4,10418.3,10436.5,21929,4,0.0,6.0,True,2026-06-12 00:00:00,0.0,2026-06-12,False,False
2026-06-12 03:00:00+00:00,10436.6,10437.8,10402.8,10403.8,18632,4,0.0,5.5,True,2026-06-12 04:00:00,4.0,2026-06-12,False,False
2026-06-12 07:00:00+00:00,10406.0,10506.3,10403.0,10451.8,22262,4,1.0,4.0,True,2026-06-12 08:00:00,8.0,2026-06-12,True,False
2026-06-12 11:00:00+00:00,10451.3,10504.3,10422.1,10500.8,21806,4,1.0,4.0,True,2026-06-12 12:00:00,12.0,2026-06-12,True,False
2026-06-12 15:00:00+00:00,10501.3,10517.6,10481.8,10505.8,16741,4,0.25,4.0,True,2026-06-12 16:00:00,16.0,2026-06-12,True,False
2026-06-12 19:00:00+00:00,10506.3,10521.8,10495.0,10504.8,2464,1,0.0,4.0,True,2026-06-12 20:00:00,20.0,2026-06-12,False,False
2026-06-14 22:00:00+00:00,10571.6,10579.9,10565.8,10569.7,3920,1,0.0,6.0,True,2026-06-14 23:00:00,23.0,2026-06-14,False,False
2026-06-14 23:00:00+00:00,10570.0,10575.8,10531.2,10565.3,11954,4,0.0,6.0,True,2026-06-15 00:00:00,0.0,2026-06-15,False,False
2026-06-15 03:00:00+00:00,10565.1,10598.6,10563.7,10589.6,5717,4,0.0,5.5,True,2026-06-15 04:00:00,4.0,2026-06-15,False,False
2026-06-15 07:00:00+00:00,10589.8,10606.8,10510.8,10518.3,13517,4,1.0,4.0,True,2026-06-15 08:00:00,8.0,2026-06-15,True,False
2026-06-15 11:00:00+00:00,10518.6,10524.6,10456.6,10470.8,12962,4,1.0,4.0,True,2026-06-15 12:00:00,12.0,2026-06-15,True,False
2026-06-15 15:00:00+00:00,10471.1,10483.3,10436.3,10446.1,8584,4,0.25,4.0,True,2026-06-15 16:00:00,16.0,2026-06-15,True,False
2026-06-15 19:00:00+00:00,10446.6,10454.1,10431.3,10436.2,4590,3,0.0,5.333333333333333,True,2026-06-15 20:00:00,20.0,2026-06-15,False,False
2026-06-15 23:00:00+00:00,10436.1,10464.8,10433.5,10450.6,10668,4,0.0,6.0,True,2026-06-16 00:00:00,0.0,2026-06-16,False,False
2026-06-16 03:00:00+00:00,10450.0,10481.8,10449.8,10478.8,6783,4,0.0,5.5,True,2026-06-16 04:00:00,4.0,2026-06-16,False,False
2026-06-16 07:00:00+00:00,10479.3,10541.6,10465.6,10526.6,10652,4,1.0,4.0,True,2026-06-16 08:00:00,8.0,2026-06-16,True,False
2026-06-16 11:00:00+00:00,10526.8,10560.3,10515.1,10530.6,12657,4,1.0,4.0,True,2026-06-16 12:00:00,12.0,2026-06-16,True,False
2026-06-16 15:00:00+00:00,10530.1,10545.1,10514.1,10514.1,8953,4,0.25,4.0,True,2026-06-16 16:00:00,16.0,2026-06-16,True,False
2026-06-16 19:00:00+00:00,10513.8,10514.1,10494.4,10511.9,4341,3,0.0,5.333333333333333,True,2026-06-16 20:00:00,20.0,2026-06-16,False,False
2026-06-16 23:00:00+00:00,10511.7,10528.9,10495.2,10519.9,8005,4,0.0,6.0,True,2026-06-17 00:00:00,0.0,2026-06-17,False,False
2026-06-17 03:00:00+00:00,10519.8,10539.3,10512.7,10527.1,5341,4,0.0,5.5,True,2026-06-17 04:00:00,4.0,2026-06-17,False,False
2026-06-17 07:00:00+00:00,10526.8,10543.6,10502.8,10536.6,10100,4,1.0,4.0,True,2026-06-17 08:00:00,8.0,2026-06-17,True,False
2026-06-17 11:00:00+00:00,10535.6,10546.1,10512.1,10532.6,11795,4,1.0,4.0,True,2026-06-17 12:00:00,12.0,2026-06-17,True,False
2026-06-17 15:00:00+00:00,10532.8,10557.8,10497.0,10524.6,23869,4,0.25,4.0,True,2026-06-17 16:00:00,16.0,2026-06-17,True,False
2026-06-17 19:00:00+00:00,10524.8,10537.5,10478.0,10512.5,21941,3,0.0,5.333333333333333,True,2026-06-17 20:00:00,20.0,2026-06-17,False,False
2026-06-17 23:00:00+00:00,10512.7,10543.5,10483.7,10499.0,13894,4,0.0,6.0,True,2026-06-18 00:00:00,0.0,2026-06-18,False,False
2026-06-18 03:00:00+00:00,10499.1,10522.3,10488.1,10508.1,10796,4,0.0,5.5,True,2026-06-18 04:00:00,4.0,2026-06-18,False,False
2026-06-18 07:00:00+00:00,10507.8,10523.8,10431.3,10439.0,19904,4,1.0,4.0,True,2026-06-18 08:00:00,8.0,2026-06-18,True,False
2026-06-18 11:00:00+00:00,10438.5,10474.1,10420.6,10455.3,21438,4,1.0,4.0,True,2026-06-18 12:00:00,12.0,2026-06-18,True,False
2026-06-18 15:00:00+00:00,10455.6,10469.3,10434.6,10458.1,13974,4,0.25,4.0,True,2026-06-18 16:00:00,16.0,2026-06-18,True,False
2026-06-18 19:00:00+00:00,10457.8,10469.6,10448.6,10451.9,5618,3,0.0,5.333333333333333,True,2026-06-18 20:00:00,20.0,2026-06-18,False,False
2026-06-18 23:00:00+00:00,10451.8,10458.7,10416.1,10423.0,7180,4,0.0,6.0,True,2026-06-19 00:00:00,0.0,2026-06-19,False,False
2026-06-19 03:00:00+00:00,10423.1,10435.1,10399.0,10429.6,8448,4,0.0,5.5,True,2026-06-19 04:00:00,4.0,2026-06-19,False,False
2026-06-19 07:00:00+00:00,10430.6,10463.6,10409.1,10419.6,10518,4,1.0,4.0,True,2026-06-19 08:00:00,8.0,2026-06-19,True,False
2026-06-19 11:00:00+00:00,10418.8,10430.6,10394.5,10401.1,8781,4,1.0,4.0,True,2026-06-19 12:00:00,12.0,2026-06-19,True,False
2026-06-19 15:00:00+00:00,10401.3,10425.1,10384.3,10400.6,4870,4,0.25,4.0,True,2026-06-19 16:00:00,16.0,2026-06-19,True,False
2026-06-19 19:00:00+00:00,10400.3,10405.0,10398.5,10400.5,490,1,0.0,4.0,True,2026-06-19 20:00:00,20.0,2026-06-19,False,False
2026-06-21 22:00:00+00:00,10397.3,10399.6,10375.3,10379.6,2923,1,0.0,6.0,True,2026-06-21 23:00:00,23.0,2026-06-21,False,False
2026-06-21 23:00:00+00:00,10379.7,10419.2,10354.7,10394.8,16831,4,0.0,6.0,True,2026-06-22 00:00:00,0.0,2026-06-22,False,False
2026-06-22 03:00:00+00:00,10394.6,10437.6,10390.5,10421.3,8916,4,0.0,5.5,True,2026-06-22 04:00:00,4.0,2026-06-22,False,False
2026-06-22 07:00:00+00:00,10421.6,10436.1,10385.3,10431.6,11842,4,1.0,4.0,True,2026-06-22 08:00:00,8.0,2026-06-22,True,False
2026-06-22 11:00:00+00:00,10432.1,10479.3,10431.6,10473.6,14019,4,1.0,4.0,True,2026-06-22 12:00:00,12.0,2026-06-22,True,False
2026-06-22 15:00:00+00:00,10473.8,10488.8,10463.1,10464.1,7679,4,0.25,4.0,True,2026-06-22 16:00:00,16.0,2026-06-22,True,False
2026-06-22 19:00:00+00:00,10464.6,10476.3,10453.8,10456.9,4403,3,0.0,5.333333333333333,True,2026-06-22 20:00:00,20.0,2026-06-22,False,False
2026-06-22 23:00:00+00:00,10456.7,10468.8,10408.9,10409.6,15598,4,0.0,6.0,True,2026-06-23 00:00:00,0.0,2026-06-23,False,False
2026-06-23 03:00:00+00:00,10410.1,10410.3,10359.1,10369.6,13348,4,0.0,5.5,True,2026-06-23 04:00:00,4.0,2026-06-23,False,False
2026-06-23 07:00:00+00:00,10368.8,10461.8,10368.8,10428.1,15397,4,1.0,4.0,True,2026-06-23 08:00:00,8.0,2026-06-23,True,False
2026-06-23 11:00:00+00:00,10428.6,10500.1,10417.6,10495.8,15084,4,1.0,4.0,True,2026-06-23 12:00:00,12.0,2026-06-23,True,False
2026-06-23 15:00:00+00:00,10496.1,10511.1,10467.6,10485.1,8661,4,0.25,4.0,True,2026-06-23 16:00:00,16.0,2026-06-23,True,False
2026-06-23 19:00:00+00:00,10484.8,10492.6,10460.9,10466.6,7317,3,0.0,5.333333333333333,True,2026-06-23 20:00:00,20.0,2026-06-23,False,False
2026-06-23 23:00:00+00:00,10466.8,10485.7,10435.5,10435.5,25612,4,0.0,6.0,True,2026-06-24 00:00:00,0.0,2026-06-24,False,False
2026-06-24 03:00:00+00:00,10435.8,10471.3,10413.4,10461.8,18403,4,0.0,5.5,True,2026-06-24 04:00:00,4.0,2026-06-24,False,False
2026-06-24 07:00:00+00:00,10462.6,10480.1,10439.8,10468.6,16955,4,1.0,4.0,True,2026-06-24 08:00:00,8.0,2026-06-24,True,False
