time,open,high,low,close,volume,n_bars,cash_frac,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2024-08-04 22:00:00+00:00,39500.5,39587.0,39302.5,39376.5,18991,3,0.0,4.0,True,2024-08-04 23:00:00,23.0,2024-08-04,False,False
2024-08-05 01:00:00+00:00,39376.0,39525.0,39318.0,39399.5,20114,4,0.0,4.0,True,2024-08-05 02:00:00,2.0,2024-08-05,False,False
2024-08-05 05:00:00+00:00,39400.0,39490.5,39020.0,39112.5,59866,4,0.0,2.875,True,2024-08-05 06:00:00,6.0,2024-08-05,False,False
2024-08-05 09:00:00+00:00,39113.5,39159.5,38390.5,38499.0,47637,4,0.0,2.5,True,2024-08-05 10:00:00,10.0,2024-08-05,False,False
2024-08-05 13:00:00+00:00,38498.5,39036.3,38473.5,38823.7,248137,4,0.75,1.5,True,2024-08-05 14:00:00,14.0,2024-08-05,False,False
2024-08-05 17:00:00+00:00,38824.2,38909.3,38579.5,38862.5,161837,4,0.75,2.125,True,2024-08-05 18:00:00,18.0,2024-08-05,True,False
2024-08-05 22:00:00+00:00,38879.2,39072.2,38869.6,39060.8,15141,3,0.0,4.0,True,2024-08-05 23:00:00,23.0,2024-08-05,False,False
2024-08-06 01:00:00+00:00,39060.3,39145.3,38965.9,39071.0,12191,4,0.0,4.0,True,2024-08-06 02:00:00,2.0,2024-08-06,False,False
2024-08-06 05:00:00+00:00,39069.5,39142.0,38849.5,38884.5,36496,4,0.0,2.875,True,2024-08-06 06:00:00,6.0,2024-08-06,False,False
2024-08-06 09:00:00+00:00,38884.0,39058.5,38769.0,38856.5,39964,4,0.0,2.5,True,2024-08-06 10:00:00,10.0,2024-08-06,False,False
2024-08-06 13:00:00+00:00,38855.0,39283.5,38628.5,39239.9,183876,4,0.75,1.5,True,2024-08-06 14:00:00,14.0,2024-08-06,False,False
2024-08-06 17:00:00+00:00,39240.4,39454.2,38838.5,38903.3,148255,4,0.75,2.125,True,2024-08-06 18:00:00,18.0,2024-08-06,True,False
2024-08-06 22:00:00+00:00,38905.6,39036.2,38885.2,39018.6,14189,3,0.0,4.0,True,2024-08-06 23:00:00,23.0,2024-08-06,False,False
2024-08-07 01:00:00+00:00,39018.1,39299.5,38992.4,39289.1,11122,4,0.0,4.0,True,2024-08-07 02:00:00,2.0,2024-08-07,False,False
2024-08-07 05:00:00+00:00,39289.6,39305.7,39128.4,39283.2,26844,4,0.0,2.875,True,2024-08-07 06:00:00,6.0,2024-08-07,False,False
2024-08-07 09:00:00+00:00,39282.7,39372.2,39267.8,39319.1,25086,4,0.0,2.5,True,2024-08-07 10:00:00,10.0,2024-08-07,False,False
2024-08-07 13:00:00+00:00,39318.1,39484.2,39054.8,39082.6,140613,4,0.75,1.5,True,2024-08-07 14:00:00,14.0,2024-08-07,False,False
2024-08-07 17:00:00+00:00,39082.1,39110.0,38620.3,38647.9,150388,4,0.75,2.125,True,2024-08-07 18:00:00,18.0,2024-08-07,True,False
2024-08-07 22:00:00+00:00,38696.8,38746.2,38560.2,38679.9,15678,3,0.0,4.0,True,2024-08-07 23:00:00,23.0,2024-08-07,False,False
2024-08-08 01:00:00+00:00,38679.9,38813.2,38673.5,38766.2,10989,4,0.0,4.0,True,2024-08-08 02:00:00,2.0,2024-08-08,False,False
