time,open,high,low,close,volume,n_bars,cash_frac,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2024-08-19 13:00:00+00:00,40816.5,41051.6,40804.5,41032.1,105277,4,0.75,1.5,True,2024-08-19 14:00:00,14.0,2024-08-19,False,False
2024-08-19 17:00:00+00:00,41032.6,41035.1,40930.6,40987.5,50035,4,0.75,2.125,True,2024-08-19 18:00:00,18.0,2024-08-19,True,False
2024-08-19 22:00:00+00:00,41005.0,41033.5,40991.0,41002.0,2577,3,0.0,4.0,True,2024-08-19 23:00:00,23.0,2024-08-19,False,False
2024-08-20 01:00:00+00:00,41003.0,41035.0,40985.0,41020.0,3647,4,0.0,4.0,True,2024-08-20 02:00:00,2.0,2024-08-20,False,False
2024-08-20 05:00:00+00:00,41019.0,41084.5,40989.0,41031.0,8270,4,0.0,2.875,True,2024-08-20 06:00:00,6.0,2024-08-20,False,False
2024-08-20 09:00:00+00:00,41031.5,41038.0,40972.5,40987.5,7853,4,0.0,2.5,True,2024-08-20 10:00:00,10.0,2024-08-20,False,False
2024-08-20 13:00:00+00:00,40988.0,41027.6,40875.6,40959.1,117314,4,0.75,1.5,True,2024-08-20 14:00:00,14.0,2024-08-20,False,False
2024-08-20 17:00:00+00:00,40959.6,41040.1,40904.1,40966.0,61675,4,0.75,2.125,True,2024-08-20 18:00:00,18.0,2024-08-20,True,False
2024-08-20 22:00:00+00:00,40964.5,41010.0,40950.0,41004.0,3075,3,0.0,4.0,True,2024-08-20 23:00:00,23.0,2024-08-20,False,False
2024-08-21 01:00:00+00:00,41003.0,41017.5,40978.0,41017.0,3152,4,0.0,4.0,True,2024-08-21 02:00:00,2.0,2024-08-21,False,False
2024-08-21 05:00:00+00:00,41016.5,41026.0,40974.0,40983.5,6817,4,0.0,2.875,True,2024-08-21 06:00:00,6.0,2024-08-21,False,False
2024-08-21 09:00:00+00:00,40983.0,41033.5,40974.5,41018.0,7339,4,0.0,2.5,True,2024-08-21 10:00:00,10.0,2024-08-21,False,False
2024-08-21 13:00:00+00:00,41019.0,41097.1,40850.1,40974.6,159752,4,0.75,1.5,True,2024-08-21 14:00:00,14.0,2024-08-21,False,False
2024-08-21 17:00:00+00:00,40974.6,41044.6,40923.6,41012.0,89247,4,0.75,2.125,True,2024-08-21 18:00:00,18.0,2024-08-21,True,False
2024-08-21 22:00:00+00:00,41015.5,41045.5,41000.0,41025.0,2545,3,0.0,4.0,True,2024-08-21 23:00:00,23.0,2024-08-21,False,False
2024-08-22 01:00:00+00:00,41025.5,41028.0,40962.5,40973.0,3684,4,0.0,4.0,True,2024-08-22 02:00:00,2.0,2024-08-22,False,False
2024-08-22 05:00:00+00:00,40973.5,41061.5,40970.0,41046.0,5313,4,0.0,2.875,True,2024-08-22 06:00:00,6.0,2024-08-22,False,False
2024-08-22 09:00:00+00:00,41046.5,41067.0,40989.5,41052.0,8173,4,0.0,2.5,True,2024-08-22 10:00:00,10.0,2024-08-22,False,False
2024-08-22 13:00:00+00:00,41052.5,41155.1,40797.1,40814.1,172782,4,0.75,1.5,True,2024-08-22 14:00:00,14.0,2024-08-22,False,False
2024-08-22 17:00:00+00:00,40814.6,40859.0,40684.1,40840.5,141708,4,0.75,2.125,True,2024-08-22 18:00:00,18.0,2024-08-22,True,False
2024-08-22 22:00:00+00:00,40839.5,40896.0,40838.0,40878.0,3255,3,0.0,4.0,True,2024-08-22 23:00:00,23.0,2024-08-22,False,False
2024-08-23 01:00:00+00:00,40878.5,40917.0,40867.0,40907.0,3323,4,0.0,4.0,True,2024-08-23 02:00:00,2.0,2024-08-23,False,False
2024-08-23 05:00:00+00:00,40908.0,40953.0,40903.5,40951.5,5414,4,0.0,2.875,True,2024-08-23 06:00:00,6.0,2024-08-23,False,False
2024-08-23 09:00:00+00:00,40951.0,41022.0,40934.5,41018.0,7629,4,0.0,2.5,True,2024-08-23 10:00:00,10.0,2024-08-23,False,False
2024-08-23 13:00:00+00:00,41017.5,41307.1,40927.1,41073.1,265236,4,0.75,1.5,True,2024-08-23 14:00:00,14.0,2024-08-23,False,False
2024-08-23 17:00:00+00:00,41073.6,41306.1,41055.6,41274.0,93702,4,0.75,2.125,True,2024-08-23 18:00:00,18.0,2024-08-23,True,False
2024-08-25 22:00:00+00:00,41278.5,41325.5,41231.0,41278.0,6655,3,0.0,4.0,True,2024-08-25 23:00:00,23.0,2024-08-25,False,False
2024-08-26 01:00:00+00:00,41278.5,41296.5,41233.0,41244.0,3925,4,0.0,4.0,True,2024-08-26 02:00:00,2.0,2024-08-26,False,False
2024-08-26 05:00:00+00:00,41244.5,41326.5,41233.0,41309.0,6147,4,0.0,2.875,True,2024-08-26 06:00:00,6.0,2024-08-26,False,False
2024-08-26 09:00:00+00:00,41310.0,41351.0,41276.5,41348.0,9103,4,0.0,2.5,True,2024-08-26 10:00:00,10.0,2024-08-26,False,False
2024-08-26 13:00:00+00:00,41347.5,41522.6,41266.6,41381.6,157436,4,0.75,1.5,True,2024-08-26 14:00:00,14.0,2024-08-26,False,False
2024-08-26 17:00:00+00:00,41381.1,41406.6,41229.1,41300.0,92608,4,0.75,2.125,True,2024-08-26 18:00:00,18.0,2024-08-26,True,False
2024-08-26 22:00:00+00:00,41296.0,41331.0,41265.0,41293.5,4855,3,0.0,4.0,True,2024-08-26 23:00:00,23.0,2024-08-26,False,False
2024-08-27 01:00:00+00:00,41294.0,41330.5,41286.5,41319.0,4321,4,0.0,4.0,True,2024-08-27 02:00:00,2.0,2024-08-27,False,False
2024-08-27 05:00:00+00:00,41319.5,41390.5,41316.5,41359.0,6968,4,0.0,2.875,True,2024-08-27 06:00:00,6.0,2024-08-27,False,False
2024-08-27 09:00:00+00:00,41359.5,41366.0,41213.5,41233.0,12102,4,0.0,2.5,True,2024-08-27 10:00:00,10.0,2024-08-27,False,False
2024-08-27 13:00:00+00:00,41232.5,41360.6,41181.5,41259.1,165149,4,0.75,1.5,True,2024-08-27 14:00:00,14.0,2024-08-27,False,False
2024-08-27 17:00:00+00:00,41259.6,41370.6,41257.1,41349.5,61403,4,0.75,2.125,True,2024-08-27 18:00:00,18.0,2024-08-27,True,False
2024-08-27 22:00:00+00:00,41357.0,41365.0,41298.0,41341.0,5304,3,0.0,4.0,True,2024-08-27 23:00:00,23.0,2024-08-27,False,False
2024-08-28 01:00:00+00:00,41341.5,41370.5,41325.0,41362.0,3941,4,0.0,4.0,True,2024-08-28 02:00:00,2.0,2024-08-28,False,False
2024-08-28 05:00:00+00:00,41361.5,41379.5,41349.0,41356.0,5396,4,0.0,2.875,True,2024-08-28 06:00:00,6.0,2024-08-28,False,False
2024-08-28 09:00:00+00:00,41357.0,41371.5,41303.5,41332.0,7208,4,0.0,2.5,True,2024-08-28 10:00:00,10.0,2024-08-28,False,False
