time,open,high,low,close,volume,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2025-08-04 18:00:00+00:00,6317.22,6322.42,6316.76,6317.75,1201,0.3999999999996362,True,2025-08-04 19:00:00,19.0,2025-08-04,True,False
2025-08-04 18:15:00+00:00,6318.0,6320.88,6316.97,6319.1,952,0.4000000000005457,True,2025-08-04 19:15:00,19.25,2025-08-04,True,False
2025-08-04 18:30:00+00:00,6319.23,6323.33,6317.63,6318.9,1146,0.4000000000005457,True,2025-08-04 19:30:00,19.5,2025-08-04,True,False
2025-08-04 18:45:00+00:00,6318.65,6320.14,6316.93,6318.15,884,0.4000000000005457,True,2025-08-04 19:45:00,19.75,2025-08-04,True,False
2025-08-04 19:00:00+00:00,6317.91,6321.35,6316.64,6320.58,1023,0.3999999999996362,True,2025-08-04 20:00:00,20.0,2025-08-04,True,False
2025-08-04 19:15:00+00:00,6320.71,6326.63,6320.33,6321.79,1254,0.3999999999996362,True,2025-08-04 20:15:00,20.25,2025-08-04,True,False
2025-08-04 19:30:00+00:00,6322.03,6324.15,6318.26,6321.93,1145,0.4000000000005457,True,2025-08-04 20:30:00,20.5,2025-08-04,True,False
2025-08-04 19:45:00+00:00,6321.69,6331.28,6321.44,6329.7,2437,0.3999999999996362,True,2025-08-04 20:45:00,20.75,2025-08-04,True,False
2025-08-04 20:00:00+00:00,6329.83,6338.16,6328.0,6336.98,2071,0.5,True,2025-08-04 21:00:00,21.0,2025-08-04,False,False
2025-08-04 20:15:00+00:00,6336.86,6339.01,6336.73,6338.02,327,0.5,True,2025-08-04 21:15:00,21.25,2025-08-04,False,False
2025-08-04 20:30:00+00:00,6337.77,6341.0,6337.77,6340.76,205,0.5,True,2025-08-04 21:30:00,21.5,2025-08-04,False,False
2025-08-04 20:45:00+00:00,6340.51,6342.79,6339.78,6342.54,188,0.5,True,2025-08-04 21:45:00,21.75,2025-08-04,False,False
2025-08-04 22:00:00+00:00,6343.38,6345.38,6340.25,6340.63,535,0.5,True,2025-08-04 23:00:00,23.0,2025-08-04,False,False
2025-08-04 22:15:00+00:00,6340.38,6341.63,6338.13,6338.63,261,0.5,True,2025-08-04 23:15:00,23.25,2025-08-04,False,False
2025-08-04 22:30:00+00:00,6338.75,6339.13,6336.63,6338.13,355,0.5,True,2025-08-04 23:30:00,23.5,2025-08-04,False,False
2025-08-04 22:45:00+00:00,6337.88,6339.13,6337.38,6338.38,180,0.5,True,2025-08-04 23:45:00,23.75,2025-08-04,False,False
2025-08-04 23:00:00+00:00,6338.63,6340.88,6337.88,6340.88,148,0.5,True,2025-08-05 00:00:00,0.0,2025-08-05,False,False
2025-08-04 23:15:00+00:00,6340.63,6342.88,6337.63,6338.13,293,0.5,True,2025-08-05 00:15:00,0.25,2025-08-05,False,False
