time,open,high,low,close,volume
2025-08-04 17:30:00+00:00,1.15688,1.15717,1.15641,1.15648,1329
2025-08-04 17:45:00+00:00,1.15647,1.1574,1.15641,1.15728,2000
2025-08-04 18:00:00+00:00,1.15728,1.15754,1.15717,1.15747,2017
2025-08-04 18:15:00+00:00,1.15746,1.15775,1.15714,1.1572,1802
2025-08-04 18:30:00+00:00,1.1572,1.15727,1.15658,1.15694,1994
2025-08-04 18:45:00+00:00,1.15693,1.15705,1.15638,1.15652,2783
2025-08-04 19:00:00+00:00,1.15651,1.15709,1.15638,1.15679,1744
2025-08-04 19:15:00+00:00,1.15679,1.15722,1.15673,1.15712,1429
2025-08-04 19:30:00+00:00,1.15711,1.15727,1.15657,1.15674,1797
2025-08-04 19:45:00+00:00,1.15674,1.15685,1.15628,1.15678,1862
2025-08-04 20:00:00+00:00,1.1568,1.1572,1.15652,1.15719,1423
2025-08-04 20:15:00+00:00,1.15718,1.15759,1.15715,1.15752,1198
2025-08-04 20:30:00+00:00,1.15752,1.15754,1.15714,1.15721,1025
2025-08-04 20:45:00+00:00,1.15721,1.15753,1.1571,1.15712,1133
2025-08-04 21:00:00+00:00,1.15694,1.15694,1.15681,1.15689,67
2025-08-04 21:15:00+00:00,1.1569,1.15698,1.15672,1.15678,86
2025-08-04 21:30:00+00:00,1.15679,1.1569,1.15669,1.15672,207
2025-08-04 21:45:00+00:00,1.15673,1.15677,1.15665,1.15667,101
2025-08-04 22:00:00+00:00,1.15686,1.15776,1.15682,1.15755,846
2025-08-04 22:15:00+00:00,1.15755,1.15793,1.15751,1.15793,666
2025-08-04 22:30:00+00:00,1.15793,1.15813,1.15766,1.15787,1054
2025-08-04 22:45:00+00:00,1.15788,1.15805,1.15774,1.1579,532
2025-08-04 23:00:00+00:00,1.1579,1.15853,1.15775,1.15844,1682
2025-08-04 23:15:00+00:00,1.15845,1.1585,1.15816,1.15847,605
2025-08-04 23:30:00+00:00,1.15848,1.15852,1.1582,1.15828,504
2025-08-04 23:45:00+00:00,1.15828,1.15844,1.15816,1.15837,808
2025-08-05 00:00:00+00:00,1.15837,1.15876,1.15837,1.1586,1305
2025-08-05 00:15:00+00:00,1.15859,1.15865,1.15785,1.15788,1125
2025-08-05 00:30:00+00:00,1.15789,1.15793,1.15743,1.15754,1646
2025-08-05 00:45:00+00:00,1.15753,1.15764,1.15707,1.15718,1917
2025-08-05 01:00:00+00:00,1.15718,1.15739,1.15593,1.15604,2066
2025-08-05 01:15:00+00:00,1.15603,1.15678,1.15594,1.15671,1970
2025-08-05 01:30:00+00:00,1.15672,1.15696,1.15644,1.1569,1181
2025-08-05 01:45:00+00:00,1.1569,1.15735,1.1563,1.15636,1476
2025-08-05 02:00:00+00:00,1.15637,1.15641,1.15568,1.15605,1503
2025-08-05 02:15:00+00:00,1.15605,1.15625,1.15578,1.15594,1459
2025-08-05 02:30:00+00:00,1.15594,1.15597,1.15555,1.15575,1844
2025-08-05 02:45:00+00:00,1.15576,1.15612,1.15575,1.15601,1331
2025-08-05 03:00:00+00:00,1.156,1.15612,1.15577,1.156,925
2025-08-05 03:15:00+00:00,1.156,1.15607,1.15539,1.15575,1063
2025-08-05 03:30:00+00:00,1.15575,1.15606,1.15551,1.15605,690
2025-08-05 03:45:00+00:00,1.15605,1.15611,1.15545,1.15551,1192
2025-08-05 04:00:00+00:00,1.15552,1.15573,1.1554,1.15557,897
2025-08-05 04:15:00+00:00,1.15556,1.15573,1.15542,1.15556,772
2025-08-05 04:30:00+00:00,1.15557,1.156,1.15554,1.15585,1043
2025-08-05 04:45:00+00:00,1.15585,1.15601,1.15577,1.15581,605
2025-08-05 05:00:00+00:00,1.15581,1.15581,1.15542,1.15563,873
2025-08-05 05:15:00+00:00,1.15562,1.15565,1.15515,1.15536,738
2025-08-05 05:30:00+00:00,1.15537,1.15542,1.15438,1.15483,2337
2025-08-05 05:45:00+00:00,1.15482,1.15508,1.15464,1.15479,1313
2025-08-05 06:00:00+00:00,1.15479,1.15492,1.15425,1.15491,2624
2025-08-05 06:15:00+00:00,1.1549,1.1561,1.15476,1.15556,2154
2025-08-05 06:30:00+00:00,1.15556,1.15556,1.15484,1.15495,1394
2025-08-05 06:45:00+00:00,1.15496,1.1552,1.15455,1.15506,1712
2025-08-05 07:00:00+00:00,1.15507,1.15565,1.1548,1.15551,2751
2025-08-05 07:15:00+00:00,1.15553,1.15622,1.15553,1.15594,2264
2025-08-05 07:30:00+00:00,1.15595,1.15605,1.15518,1.1556,2210
2025-08-05 07:45:00+00:00,1.15558,1.15558,1.15328,1.15461,6087
2025-08-05 08:00:00+00:00,1.15461,1.15491,1.15414,1.15425,3895
