time,open,high,low,close,volume
2025-08-04 17:30:00+00:00,1.15691,1.15719,1.15644,1.1565,1329
2025-08-04 17:45:00+00:00,1.1565,1.15742,1.15644,1.15731,2000
2025-08-04 18:00:00+00:00,1.1573,1.15757,1.1572,1.1575,2017
2025-08-04 18:15:00+00:00,1.15749,1.15778,1.15716,1.15723,1802
2025-08-04 18:30:00+00:00,1.15722,1.15729,1.15661,1.15696,1994
2025-08-04 18:45:00+00:00,1.15696,1.15707,1.15641,1.15654,2783
2025-08-04 19:00:00+00:00,1.15654,1.15711,1.15641,1.15682,1744
2025-08-04 19:15:00+00:00,1.15681,1.15724,1.15676,1.15714,1429
2025-08-04 19:30:00+00:00,1.15714,1.15729,1.15659,1.15677,1797
2025-08-04 19:45:00+00:00,1.15676,1.15688,1.15631,1.15681,1862
2025-08-04 20:00:00+00:00,1.15682,1.15723,1.15655,1.15722,1423
2025-08-04 20:15:00+00:00,1.15721,1.15762,1.15717,1.15755,1198
2025-08-04 20:30:00+00:00,1.15754,1.15757,1.15716,1.15723,1025
2025-08-04 20:45:00+00:00,1.15724,1.15755,1.15712,1.15715,1133
2025-08-04 21:00:00+00:00,1.15719,1.15719,1.15706,1.15714,67
2025-08-04 21:15:00+00:00,1.15715,1.15723,1.15697,1.15703,86
2025-08-04 21:30:00+00:00,1.15704,1.15715,1.15694,1.15697,207
2025-08-04 21:45:00+00:00,1.15698,1.15702,1.1569,1.15692,101
2025-08-04 22:00:00+00:00,1.15689,1.15779,1.15685,1.15758,846
2025-08-04 22:15:00+00:00,1.15758,1.15796,1.15754,1.15796,666
2025-08-04 22:30:00+00:00,1.15796,1.15816,1.15769,1.1579,1054
2025-08-04 22:45:00+00:00,1.15791,1.15808,1.15777,1.15793,532
2025-08-04 23:00:00+00:00,1.15793,1.15856,1.15778,1.15847,1682
2025-08-04 23:15:00+00:00,1.15848,1.15853,1.15819,1.1585,605
2025-08-04 23:30:00+00:00,1.15851,1.15855,1.15823,1.15831,504
2025-08-04 23:45:00+00:00,1.15831,1.15847,1.15819,1.1584,808
2025-08-05 00:00:00+00:00,1.1584,1.15879,1.1584,1.15863,1305
2025-08-05 00:15:00+00:00,1.15862,1.15868,1.15788,1.15791,1125
2025-08-05 00:30:00+00:00,1.15792,1.15796,1.15746,1.15757,1646
2025-08-05 00:45:00+00:00,1.15756,1.15767,1.1571,1.15721,1917
2025-08-05 01:00:00+00:00,1.15721,1.15742,1.15596,1.15607,2066
2025-08-05 01:15:00+00:00,1.15606,1.15681,1.15597,1.15674,1970
2025-08-05 01:30:00+00:00,1.15675,1.15699,1.15647,1.15693,1181
2025-08-05 01:45:00+00:00,1.15693,1.15738,1.15633,1.15639,1476
2025-08-05 02:00:00+00:00,1.1564,1.15644,1.15571,1.15608,1503
2025-08-05 02:15:00+00:00,1.15608,1.15628,1.15581,1.15597,1459
2025-08-05 02:30:00+00:00,1.15597,1.156,1.15558,1.15578,1844
2025-08-05 02:45:00+00:00,1.15579,1.15615,1.15578,1.15604,1331
2025-08-05 03:00:00+00:00,1.15603,1.15615,1.1558,1.15603,925
2025-08-05 03:15:00+00:00,1.15603,1.1561,1.15542,1.15578,1063
2025-08-05 03:30:00+00:00,1.15578,1.15609,1.15554,1.15608,690
2025-08-05 03:45:00+00:00,1.15608,1.15614,1.15548,1.15554,1192
2025-08-05 04:00:00+00:00,1.15555,1.15576,1.15543,1.1556,897
2025-08-05 04:15:00+00:00,1.15559,1.15576,1.15545,1.15559,772
2025-08-05 04:30:00+00:00,1.1556,1.15603,1.15557,1.15588,1043
2025-08-05 04:45:00+00:00,1.15588,1.15604,1.1558,1.15584,605
2025-08-05 05:00:00+00:00,1.15584,1.15584,1.15545,1.15566,873
2025-08-05 05:15:00+00:00,1.15565,1.15568,1.15518,1.15539,738
2025-08-05 05:30:00+00:00,1.1554,1.15545,1.15441,1.15486,2337
2025-08-05 05:45:00+00:00,1.15485,1.15511,1.15467,1.15482,1313
2025-08-05 06:00:00+00:00,1.15482,1.15495,1.15428,1.15494,2624
2025-08-05 06:15:00+00:00,1.15493,1.15613,1.15479,1.15558,2154
2025-08-05 06:30:00+00:00,1.15559,1.15559,1.15486,1.15498,1394
2025-08-05 06:45:00+00:00,1.15499,1.15523,1.15457,1.15509,1712
2025-08-05 07:00:00+00:00,1.1551,1.15567,1.15483,1.15554,2751
2025-08-05 07:15:00+00:00,1.15555,1.15625,1.15555,1.15597,2264
2025-08-05 07:30:00+00:00,1.15597,1.15608,1.15521,1.15562,2210
2025-08-05 07:45:00+00:00,1.15561,1.15561,1.1533,1.15464,6087
2025-08-05 08:00:00+00:00,1.15463,1.15493,1.15417,1.15428,3895
2025-08-05 08:15:00+00:00,1.15427,1.15459,1.15371,1.15429,3194
2025-08-05 08:30:00+00:00,1.15429,1.15444,1.15349,1.15351,2104
2025-08-05 08:45:00+00:00,1.1535,1.15373,1.15313,1.15367,3392
2025-08-05 09:00:00+00:00,1.15368,1.15387,1.153,1.15383,2935
2025-08-05 09:15:00+00:00,1.15382,1.15449,1.15374,1.15435,2382
2025-08-05 09:30:00+00:00,1.15435,1.15436,1.15386,1.1539,1408
2025-08-05 09:45:00+00:00,1.1539,1.15465,1.1539,1.15422,2534
2025-08-05 10:00:00+00:00,1.15422,1.15448,1.15368,1.1542,2261
2025-08-05 10:15:00+00:00,1.1542,1.15421,1.15344,1.15355,2693
2025-08-05 10:30:00+00:00,1.15355,1.15452,1.15342,1.15444,1691
2025-08-05 10:45:00+00:00,1.15445,1.15458,1.1542,1.15444,1705
2025-08-05 11:00:00+00:00,1.15443,1.15445,1.15375,1.15393,1730
2025-08-05 11:15:00+00:00,1.15393,1.15482,1.15374,1.1544,1671
2025-08-05 11:30:00+00:00,1.15439,1.1544,1.15277,1.15327,3202
2025-08-05 11:45:00+00:00,1.15327,1.15398,1.15324,1.15396,2188
2025-08-05 12:00:00+00:00,1.15396,1.15484,1.15366,1.15403,3429
2025-08-05 12:15:00+00:00,1.15404,1.15438,1.15304,1.15367,6068
2025-08-05 12:30:00+00:00,1.15368,1.15409,1.15303,1.15397,3779
2025-08-05 12:45:00+00:00,1.15396,1.1542,1.15327,1.15373,2936
2025-08-05 13:00:00+00:00,1.15373,1.15433,1.15365,1.15433,3033
2025-08-05 13:15:00+00:00,1.15433,1.15522,1.15411,1.15509,2179
2025-08-05 13:30:00+00:00,1.1551,1.15544,1.15482,1.155,3084
2025-08-05 13:45:00+00:00,1.155,1.1551,1.15323,1.15382,5075
2025-08-05 14:00:00+00:00,1.1537,1.15584,1.1536,1.15409,14041
2025-08-05 14:15:00+00:00,1.15409,1.1546,1.1534,1.15438,8077
2025-08-05 14:30:00+00:00,1.15439,1.15591,1.15391,1.15583,5819
2025-08-05 14:45:00+00:00,1.15583,1.15663,1.15521,1.15652,5796
2025-08-05 15:00:00+00:00,1.15653,1.15787,1.15629,1.15782,4806
2025-08-05 15:15:00+00:00,1.15783,1.15848,1.1576,1.15792,3456
2025-08-05 15:30:00+00:00,1.15793,1.15821,1.15748,1.15818,4268
2025-08-05 15:45:00+00:00,1.15817,1.15827,1.15746,1.15796,2138
2025-08-05 16:00:00+00:00,1.15795,1.1585,1.15783,1.15845,2546
2025-08-05 16:15:00+00:00,1.15844,1.15849,1.15773,1.15823,1676
2025-08-05 16:30:00+00:00,1.15822,1.15862,1.15798,1.158,2217
2025-08-05 16:45:00+00:00,1.15801,1.1584,1.15796,1.15828,1815
2025-08-05 17:00:00+00:00,1.15828,1.15831,1.1578,1.15803,1944
2025-08-05 17:15:00+00:00,1.15802,1.15836,1.15795,1.15804,1285
2025-08-05 17:30:00+00:00,1.15804,1.15832,1.15791,1.15818,1282
2025-08-05 17:45:00+00:00,1.15817,1.15817,1.15756,1.15784,1070
2025-08-05 18:00:00+00:00,1.15783,1.15798,1.15745,1.15756,1736
2025-08-05 18:15:00+00:00,1.15756,1.15766,1.15738,1.15754,1818
2025-08-05 18:30:00+00:00,1.15754,1.15779,1.15739,1.15757,1368
2025-08-05 18:45:00+00:00,1.15758,1.15759,1.15703,1.15736,2201
2025-08-05 19:00:00+00:00,1.15737,1.15738,1.15664,1.15702,1675
2025-08-05 19:15:00+00:00,1.15702,1.15705,1.15679,1.15691,1248
2025-08-05 19:30:00+00:00,1.1569,1.15713,1.15687,1.15712,1043
2025-08-05 19:45:00+00:00,1.15712,1.15752,1.15708,1.15728,2028
2025-08-05 20:00:00+00:00,1.15728,1.15755,1.15724,1.15727,1156
2025-08-05 20:15:00+00:00,1.15728,1.15749,1.1572,1.15733,1003
2025-08-05 20:30:00+00:00,1.15734,1.15758,1.15715,1.15758,1389
2025-08-05 20:45:00+00:00,1.15758,1.15777,1.15737,1.15754,3280
2025-08-05 21:00:00+00:00,1.15738,1.15748,1.15736,1.15746,172
2025-08-05 21:15:00+00:00,1.15746,1.15763,1.15745,1.15756,228
2025-08-05 21:30:00+00:00,1.15758,1.15758,1.15743,1.15751,265
2025-08-05 21:45:00+00:00,1.15752,1.15756,1.15743,1.15744,232
2025-08-05 22:00:00+00:00,1.15745,1.15772,1.15735,1.15739,599
2025-08-05 22:15:00+00:00,1.15738,1.15754,1.15731,1.15733,468
2025-08-05 22:30:00+00:00,1.15734,1.15734,1.1571,1.15729,416
2025-08-05 22:45:00+00:00,1.15728,1.15777,1.15728,1.15762,583
2025-08-05 23:00:00+00:00,1.15762,1.1577,1.15744,1.15746,370
2025-08-05 23:15:00+00:00,1.15746,1.15769,1.15731,1.15768,262
2025-08-05 23:30:00+00:00,1.15768,1.15785,1.15748,1.1578,501
2025-08-05 23:45:00+00:00,1.1578,1.15815,1.15779,1.15786,718
2025-08-06 00:00:00+00:00,1.15786,1.15853,1.15776,1.15781,1814
2025-08-06 00:15:00+00:00,1.15781,1.15799,1.15754,1.15759,840
2025-08-06 00:30:00+00:00,1.15758,1.15775,1.15737,1.15754,1029
2025-08-06 00:45:00+00:00,1.15751,1.15757,1.1573,1.15739,1259
2025-08-06 01:00:00+00:00,1.15738,1.15739,1.15693,1.15703,1369
2025-08-06 01:15:00+00:00,1.15704,1.15707,1.15649,1.15658,1245
2025-08-06 01:30:00+00:00,1.15658,1.15699,1.15658,1.15691,1369
2025-08-06 01:45:00+00:00,1.15692,1.15712,1.15658,1.1567,1222
2025-08-06 02:00:00+00:00,1.15671,1.15684,1.15644,1.15667,1080
2025-08-06 02:15:00+00:00,1.15666,1.1572,1.15663,1.15694,1355
2025-08-06 02:30:00+00:00,1.15693,1.15708,1.15675,1.15678,1260
2025-08-06 02:45:00+00:00,1.15677,1.15696,1.15663,1.15693,1305
2025-08-06 03:00:00+00:00,1.15694,1.15741,1.15694,1.15739,1176
2025-08-06 03:15:00+00:00,1.15739,1.1579,1.15739,1.15789,740
2025-08-06 03:30:00+00:00,1.1579,1.1579,1.15758,1.15773,903
2025-08-06 03:45:00+00:00,1.15773,1.1582,1.15757,1.15802,1068
2025-08-06 04:00:00+00:00,1.15801,1.15829,1.1578,1.15781,756
2025-08-06 04:15:00+00:00,1.1578,1.15834,1.1578,1.1582,965
2025-08-06 04:30:00+00:00,1.15819,1.15853,1.15819,1.15839,1112
2025-08-06 04:45:00+00:00,1.15839,1.15863,1.1583,1.15831,1046
2025-08-06 05:00:00+00:00,1.1583,1.15836,1.15765,1.1579,1145
2025-08-06 05:15:00+00:00,1.15791,1.15793,1.15774,1.15779,581
2025-08-06 05:30:00+00:00,1.15779,1.15779,1.15751,1.15774,951
2025-08-06 05:45:00+00:00,1.15774,1.15808,1.15743,1.15789,1171
2025-08-06 06:00:00+00:00,1.15788,1.15834,1.15767,1.15807,1793
2025-08-06 06:15:00+00:00,1.15807,1.15861,1.15796,1.15849,1515
2025-08-06 06:30:00+00:00,1.15849,1.15883,1.15811,1.15828,2320
2025-08-06 06:45:00+00:00,1.15827,1.15835,1.15777,1.15786,1741
2025-08-06 07:00:00+00:00,1.15785,1.158,1.15753,1.1576,1891
2025-08-06 07:15:00+00:00,1.1576,1.1577,1.15714,1.15742,2074
2025-08-06 07:30:00+00:00,1.15743,1.15785,1.15727,1.15769,1257
2025-08-06 07:45:00+00:00,1.15768,1.15823,1.15749,1.15811,2796
2025-08-06 08:00:00+00:00,1.15811,1.15835,1.15773,1.15819,2402
2025-08-06 08:15:00+00:00,1.1582,1.15827,1.15718,1.15736,1793
2025-08-06 08:30:00+00:00,1.15736,1.15806,1.15705,1.15805,1766
2025-08-06 08:45:00+00:00,1.15804,1.15804,1.15726,1.15751,1853
2025-08-06 09:00:00+00:00,1.15751,1.1581,1.15744,1.15806,1908
2025-08-06 09:15:00+00:00,1.15805,1.15836,1.15792,1.15821,1503
2025-08-06 09:30:00+00:00,1.1582,1.15846,1.1581,1.15829,1727
2025-08-06 09:45:00+00:00,1.1583,1.1588,1.15824,1.15851,1609
2025-08-06 10:00:00+00:00,1.1585,1.16051,1.15843,1.16046,4348
2025-08-06 10:15:00+00:00,1.16045,1.16109,1.15966,1.15968,3275
