date,rate
1997-01-02,5.94
1997-01-03,6.03
1997-01-06,5.9
1997-01-07,5.94
1997-01-08,5.96
1997-01-09,5.63
1997-01-10,5.43
1997-01-13,5.49
1997-01-14,5.49
1997-01-15,5.44
1997-01-16,6.09
1997-01-17,5.7
1997-01-20,6.05
1997-01-21,6.23
1997-01-22,6.07
1997-01-23,6.16
1997-01-24,6.11
1997-01-27,5.95
1997-01-28,5.71
1997-01-29,5.97
1997-01-30,6.33
1997-01-31,6.19
1997-02-03,6.37
1997-02-04,6.12
1997-02-05,6.33
1997-02-06,6.39
1997-02-07,5.87
1997-02-10,5.81
1997-02-11,5.98
1997-02-12,6.22
1997-02-13,6.07
1997-02-14,5.62
1997-02-17,5.8
1997-02-18,5.97
1997-02-19,6.08
1997-02-20,6.11
1997-02-21,5.96
1997-02-24,5.76
1997-02-25,5.78
1997-02-26,5.75
1997-02-27,5.92
1997-02-28,5.79
1997-03-03,5.86
1997-03-04,5.82
1997-03-05,5.89
1997-03-06,5.94
1997-03-07,5.98
1997-03-10,5.95
1997-03-11,6.01
1997-03-12,5.93
1997-03-13,6.03
1997-03-14,5.88
1997-03-17,5.89
1997-03-18,5.99
1997-03-19,6.09
1997-03-20,6.09
1997-03-21,5.94
1997-03-24,5.9936
1997-03-25,5.9704
1997-03-26,6.0541
1997-03-27,6.0282
1997-04-01,6.047
1997-04-02,6.0667
1997-04-03,6.0966
1997-04-04,5.9805
1997-04-07,5.9914
1997-04-08,5.9531
1997-04-09,5.9092
1997-04-10,5.8762
1997-04-11,5.837
1997-04-14,5.8153
1997-04-15,5.7927
1997-04-16,5.9322
1997-04-17,5.7946
1997-04-18,5.8419
1997-04-21,5.9728
1997-04-22,6.0128
1997-04-23,6.0719
1997-04-24,6.0287
1997-04-25,6.0061
1997-04-28,5.8343
1997-04-29,6.0352
1997-04-30,6.2641
1997-05-01,6.255
1997-05-02,5.708
1997-05-06,6.0773
1997-05-07,6.0565
1997-05-08,6.368
1997-05-09,6.0275
1997-05-12,6.1702
1997-05-13,6.223
1997-05-14,6.3554
1997-05-15,6.27
1997-05-16,5.9929
1997-05-19,6.182
1997-05-20,6.517
1997-05-21,6.4526
1997-05-22,6.5741
1997-05-23,6.1627
1997-05-27,6.1196
1997-05-28,6.3723
1997-05-29,6.1181
1997-05-30,6.3054
1997-06-02,6.2818
1997-06-03,6.0949
1997-06-04,5.899
1997-06-05,5.6797
1997-06-06,6.0647
1997-06-09,6.2546
1997-06-10,6.158
1997-06-11,6.0526
1997-06-12,6.0874
1997-06-13,6.1791
1997-06-16,6.4154
1997-06-17,6.1908
1997-06-18,6.3885
1997-06-19,6.274
1997-06-20,6.2633
1997-06-23,6.184
1997-06-24,6.2232
1997-06-25,6.1684
1997-06-26,6.5722
1997-06-27,6.2734
1997-06-30,6.9709
1997-07-01,6.2665
1997-07-02,6.5338
1997-07-03,6.2536
1997-07-04,6.1456
1997-07-07,5.9363
1997-07-08,5.7439
1997-07-09,5.6608
1997-07-10,6.2215
1997-07-11,6.3955
1997-07-14,6.6176
1997-07-15,6.8657
1997-07-16,6.8464
1997-07-17,6.7935
1997-07-18,6.8363
1997-07-21,6.5966
1997-07-22,6.851
1997-07-23,6.7531
1997-07-24,7.0489
1997-07-25,6.6684
1997-07-28,6.9891
1997-07-29,6.732
1997-07-30,6.9145
1997-07-31,6.2704
1997-08-01,6.719
1997-08-04,6.5397
1997-08-05,6.4093
1997-08-06,6.3451
1997-08-07,6.7516
1997-08-08,6.9577
1997-08-11,7.1183
1997-08-12,7.0651
1997-08-13,6.9013
1997-08-14,7.0908
1997-08-15,7.1481
1997-08-18,7.1185
1997-08-19,7.157
1997-08-20,7.1478
1997-08-21,7.243
1997-08-22,7.0717
1997-08-26,7.0814
1997-08-27,7.0247
1997-08-28,6.9907
1997-08-29,7.0956
1997-09-01,6.9851
1997-09-02,6.98
1997-09-03,6.9692
1997-09-04,6.9709
1997-09-05,6.9266
1997-09-08,7.0076
1997-09-09,6.9695
1997-09-10,6.949
1997-09-11,6.9533
1997-09-12,6.9506
1997-09-15,6.935
1997-09-16,6.9138
1997-09-17,6.9283
1997-09-18,6.9091
1997-09-19,6.9781
1997-09-22,6.9649
1997-09-23,6.9743
1997-09-24,6.9992
1997-09-25,6.9719
1997-09-26,7.0383
1997-09-29,7.0345
1997-09-30,7.1888
1997-10-01,7.1635
1997-10-02,7.2098
1997-10-03,7.2599
1997-10-06,7.1133
1997-10-07,7.0445
1997-10-08,6.964
1997-10-09,6.9847
1997-10-10,6.9968
1997-10-13,6.9624
1997-10-14,7.0972
1997-10-15,7.021
1997-10-16,7.3716
1997-10-17,7.1702
1997-10-20,7.0889
1997-10-21,7.1666
1997-10-22,7.1253
1997-10-23,7.1798
1997-10-24,7.3692
1997-10-27,7.1499
1997-10-28,7.1123
1997-10-29,7.0839
1997-10-30,7.2979
1997-10-31,7.4305
1997-11-03,7.1574
1997-11-04,7.3513
1997-11-05,7.2028
1997-11-06,7.5268
1997-11-07,7.3253
1997-11-10,7.2952
1997-11-11,7.2655
1997-11-12,7.1951
1997-11-13,7.2428
1997-11-14,7.2064
1997-11-17,7.2218
1997-11-18,7.0927
1997-11-19,6.914
1997-11-20,7.3299
1997-11-21,7.3279
1997-11-24,7.076
1997-11-25,7.104
1997-11-26,7.1323
1997-11-27,7.1298
1997-11-28,7.4412
1997-12-01,7.1052
1997-12-02,7.0676
1997-12-03,7.0022
1997-12-04,7.3985
1997-12-05,7.1187
1997-12-08,7.0073
1997-12-09,7.0036
1997-12-10,7.0607
1997-12-11,7.1672
1997-12-12,7.109
1997-12-15,7.209
1997-12-16,7.0927
1997-12-17,7.1894
1997-12-18,7.0999
1997-12-19,7.1217
1997-12-22,7.0886
1997-12-23,7.3646
1997-12-24,7.2171
1997-12-29,7.1123
1997-12-30,7.1323
1997-12-31,7.2275
1998-01-02,7.3253
1998-01-05,7.1971
1998-01-06,7.1974
1998-01-07,7.2191
1998-01-08,7.1047
1998-01-09,7.2907
1998-01-12,7.0567
1998-01-13,7.102
1998-01-14,7.1881
1998-01-15,7.3215
1998-01-16,7.0926
1998-01-19,7.095
1998-01-20,7.4181
1998-01-21,7.212
1998-01-22,7.397
