07:09Z 1min   LABEL                        {'label': 'EFFORTLESS_ADVANCE', 'structural': 'EFFORTLESS_ADVANCE', 'segment': 'cash', 'open': 10817.6, 'high': 10823.6, 'low': 10816.3, 'close': 10823.1, 'volume': 68.0, 'rel_volume': 0.59, 'location_ref': 'session_high', 'location_level': 10823.6, 'dist_pts': -0.5, 'dist_signal_atr': -0.04}
07:29Z 1min   LABEL                        {'label': 'EFFORTLESS_ADVANCE', 'structural': 'EFFORTLESS_ADVANCE', 'segment': 'cash', 'open': 10807.8, 'high': 10811.8, 'low': 10806.8, 'close': 10811.6, 'volume': 50.0, 'rel_volume': 0.86, 'location_ref': 'signal_swing_level', 'location_level': 10809.3, 'dist_pts': 2.3, 'dist_signal_atr': 0.17}
07:31Z 1min   LABEL                        {'label': 'EFFORTLESS_DECLINE', 'structural': 'EFFORTLESS_DECLINE', 'segment': 'cash', 'open': 10814.3, 'high': 10814.8, 'low': 10808.6, 'close': 10809.1, 'volume': 45.0, 'rel_volume': 0.54, 'location_ref': 'signal_swing_level', 'location_level': 10809.3, 'dist_pts': -0.2, 'dist_signal_atr': -0.01}
07:42Z 1min   LABEL                        {'label': 'EFFORTLESS_DECLINE', 'structural': 'EFFORTLESS_DECLINE', 'segment': 'cash', 'open': 10808.8, 'high': 10808.8, 'low': 10804.3, 'close': 10805.1, 'volume': 44.0, 'rel_volume': 0.85, 'location_ref': 'session_low', 'location_level': 10801.3, 'dist_pts': 3.8, 'dist_signal_atr': 0.27}
07:44Z 1min   LABEL                        {'label': 'EFFORTLESS_ADVANCE', 'structural': 'EFFORTLESS_ADVANCE', 'segment': 'cash', 'open': 10803.8, 'high': 10809.8, 'low': 10803.8, 'close': 10809.6, 'volume': 34.0, 'rel_volume': 0.6, 'location_ref': 'signal_swing_level', 'location_level': 10809.3, 'dist_pts': 0.3, 'dist_signal_atr': 0.02}
07:54Z 1min   LABEL                        {'label': 'EFFORTLESS_DECLINE', 'structural': 'EFFORTLESS_DECLINE', 'segment': 'cash', 'open': 10814.6, 'high': 10814.6, 'low': 10810.3, 'close': 10810.3, 'volume': 35.0, 'rel_volume': 0.69, 'location_ref': 'signal_swing_level', 'location_level': 10809.3, 'dist_pts': 1.0, 'dist_signal_atr': 0.07}
08:03Z 1min   LABEL                        {'label': 'EFFORTLESS_DECLINE', 'structural': 'EFFORTLESS_DECLINE', 'segment': 'cash', 'open': 10803.1, 'high': 10803.3, 'low': 10798.1, 'close': 10798.8, 'volume': 56.0, 'rel_volume': 0.78, 'location_ref': 'session_low', 'location_level': 10798.1, 'dist_pts': 0.7, 'dist_signal_atr': 0.05}
08:04Z 1min   LABEL                        {'label': 'EFFORTLESS_DECLINE', 'structural': 'EFFORTLESS_DECLINE', 'segment': 'cash', 'open': 10798.6, 'high': 10798.8, 'low': 10793.8, 'close': 10794.1, 'volume': 27.0, 'rel_volume': 0.52, 'location_ref': 'session_low', 'location_level': 10793.8, 'dist_pts': 0.3, 'dist_signal_atr': 0.02}
08:13Z 1min   LABEL                        {'label': 'EFFORTLESS_ADVANCE', 'structural': 'EFFORTLESS_ADVANCE', 'segment': 'cash', 'open': 10794.8, 'high': 10801.1, 'low': 10794.8, 'close': 10800.3, 'volume': 50.0, 'rel_volume': 0.96, 'location_ref': 'signal_swing_level', 'location_level': 10801.1, 'dist_pts': -0.8, 'dist_signal_atr': -0.05}
08:16Z 1min   LABEL                        {'label': 'EFFORTLESS_DECLINE', 'structural': 'EFFORTLESS_DECLINE', 'segment': 'cash', 'open': 10802.1, 'high': 10802.1, 'low': 10798.6, 'close': 10799.1, 'volume': 36.0, 'rel_volume': 0.64, 'location_ref': 'signal_swing_level', 'location_level': 10801.1, 'dist_pts': -2.0, 'dist_signal_atr': -0.13}
08:21Z 1min   LABEL                        {'label': 'EFFORTLESS_DECLINE', 'structural': 'EFFORTLESS_DECLINE', 'segment': 'cash', 'open': 10795.6, 'high': 10796.1, 'low': 10791.8, 'close': 10792.6, 'volume': 64.0, 'rel_volume': 1.37, 'location_ref': 'session_low', 'location_level': 10791.6, 'dist_pts': 1.0, 'dist_signal_atr': 0.06}
